t_sec_kinematic,t_min_kinematic,Q_Kinematic_model,t_sec_pond,t_min_pond,Q_Pond_model
0.0,0.0,0.0,0.0,0.0,0.0
114.28571428571429,1.9047619047619049,0.0,114.28571428571429,1.9047619047619049,0.0
180.0,3.0,0.0011637175094074454,180.0,3.0,0.0011603436876536876
360.0,6.0,0.010482509407915471,360.0,6.0,0.010256193820947212
540.0,9.0,0.026198612387012394,540.0,9.0,0.02490984172808735
720.0,12.0,0.04715498492227605,720.0,12.0,0.043191827470456925
900.0,15.0,0.07275379720194708,900.0,15.0,0.0637392185462315
1080.0,18.0,0.102603539439158,1080.0,18.0,0.08547508923107458
1260.0,21.0,0.1364190842263459,1260.0,21.0,0.10754559006211713
1440.0,24.0,0.17397939236291918,1440.0,24.0,0.12929175111723365
1620.0,27.0,0.21510583970503072,1620.0,27.0,0.15022627568615352
1800.0,30.0,0.2596497217428274,1800.0,30.0,0.17000958075462652
1980.0,33.0,0.3074844404862648,1980.0,33.0,0.1884250963985162
2072.5824390076687,34.543040650127814,0.33333333333333337,2072.5824390076687,34.543040650127814,0.19731695252541648
2160.0,36.0,0.33333333333333337,2160.0,36.0,0.20534386689537226
2340.0,39.0,0.33333333333333337,2340.0,39.0,0.22074835243465055
2520.0,42.0,0.33333333333333337,2520.0,42.0,0.23464198744852044
2700.0,45.0,0.33333333333333337,2700.0,45.0,0.24708085820902684
2880.0,48.0,0.33333333333333337,2880.0,48.0,0.258147876195964
3000.0,50.0,0.33333333333333326,3000.0,50.0,0.2648071830536674
3060.0,51.0,0.3166576084843973,3060.0,51.0,0.25286235029725873
3240.0,54.0,0.27068699425526466,3240.0,54.0,0.2211936935328191
3420.0,57.0,0.23052385830134833,3420.0,57.0,0.1948163301328811
3600.0,60.0,0.19575899312747558,3600.0,60.0,0.17264471503163378
3780.0,63.0,0.1659305586595006,3780.0,63.0,0.15385377569117661
3960.0,66.0,0.14054094597971634,3960.0,66.0,0.13780810104061994
4140.0,69.0,0.11907704703405184,4140.0,69.0,0.12401246065806093
4320.0,72.0,0.10103107828105895,4320.0,72.0,0.1120766504101901
4500.0,75.0,0.08591910908251651,4500.0,75.0,0.10169013639739323
4680.0,78.0,0.07329521118046378,4680.0,78.0,0.09260351186139296
4860.0,81.0,0.06276031432519895,4860.0,81.0,0.08461476345399503
5040.0,84.0,0.05396597151895553,5040.0,84.0,0.07755898000152514
5220.0,87.0,0.046613991560609386,5220.0,87.0,0.07130055715767017
5400.0,90.0,0.04045320345998199,5400.0,90.0,0.06572723321918528
5580.0,93.0,0.03527456978960907,5580.0,93.0,0.060745483281678475
5760.0,96.0,0.030905622875002207,5760.0,96.0,0.0562769313734341
5940.0,99.0,0.027204898171403456,5940.0,99.0,0.05225553281650822
6120.0,102.0,0.024056768977530858,6120.0,102.0,0.04862534459331382
6300.0,105.0,0.02136688126878595,6300.0,105.0,0.04533874838428991
6480.0,108.0,0.01905824992439921,6480.0,108.0,0.0423550248441417
6660.0,111.0,0.017067995850947128,6660.0,111.0,0.039639202438904765
6840.0,114.0,0.015344661515202484,6840.0,114.0,0.037161122409531275
7020.0,117.0,0.013846025974833504,7020.0,117.0,0.03489467499010227
7200.0,120.0,0.012537338969017668,7200.0,120.0,0.032817172174453846
7380.0,123.0,0.011389899822215025,7380.0,123.0,0.030908830004136002
7560.0,126.0,0.010379916381908924,7560.0,126.0,0.02915233919427871
7740.0,129.0,0.009487589421572596,7740.0,129.0,0.02753250739199068
7920.0,132.0,0.008696377583413325,7920.0,132.0,0.02603595981632355
8100.0,135.0,0.007992406434603668,8100.0,135.0,0.024650887710449917
8280.0,138.0,0.007363992399200495,8280.0,138.0,0.023366836130949805
8460.0,141.0,0.006801258250473439,8460.0,141.0,0.02217452424402133
8640.0,144.0,0.006295821644417247,8640.0,144.0,0.021065692597510382
8820.0,147.0,0.005840542014909018,8820.0,147.0,0.02003297286897425
9000.0,150.0,0.0054293142021223815,9000.0,150.0,0.019069776412842923
9180.0,153.0,0.0050568995990666575,9180.0,153.0,0.01817019858940642
9360.0,156.0,0.004718787504809362,9360.0,156.0,0.017328936389626837
9540.0,159.0,0.004411080872945307,9540.0,159.0,0.016541217299525384
9720.0,162.0,0.004130401825769952,9720.0,162.0,0.015802737696995105
9900.0,165.0,0.003873813236624355,9900.0,165.0,0.015109609358627752
10080.0,168.0,0.003638753418908592,10080.0,168.0,0.014458312887291009
10260.0,171.0,0.0034229815426486568,10260.0,171.0,0.0138456570628152
10440.0,174.0,0.003224531861383534,10440.0,174.0,0.013268743276212061
10620.0,177.0,0.003041675199394146,10620.0,177.0,0.012724934338684407
10800.0,180.0,0.002872886442122955,10800.0,180.0,0.01221182706534841
10980.0,183.0,0.0027168170067986817,10980.0,183.0,0.011727228124130842
11160.0,186.0,0.0025722714581032547,11160.0,186.0,0.01126913271597999
11340.0,189.0,0.0024381875848351444,11340.0,189.0,0.010835705715973575
11520.0,192.0,0.002313619375488389,11520.0,192.0,0.010425264958251811
11700.0,195.0,0.002197722429413085,11700.0,195.0,0.010036266392683964
11880.0,198.0,0.002089741420422473,11880.0,198.0,0.00966729087920765
12060.0,201.0,0.001988999295051024,12060.0,201.0,0.009317032418020583
12240.0,204.0,0.0018948879410658555,12240.0,204.0,0.008984287641206484
12420.0,207.0,0.001806860105606114,12420.0,207.0,0.008667946414724393
12600.0,210.0,0.0017244223783156106,12600.0,210.0,0.008366983419631702
12780.0,213.0,0.0016471290845140347,12780.0,213.0,0.008080450598482855
12960.0,216.0,0.001574576957999833,12960.0,216.0,0.007807470367493677
13140.0,219.0,0.001506400483438877,13140.0,219.0,0.007547229507657994
13320.0,222.0,0.0014422678152290294,13320.0,222.0,0.007298973658858574
13500.0,225.0,0.0013818771938565713,13500.0,225.0,0.007062002350389156
13680.0,228.0,0.0013249537925742853,13680.0,228.0,0.006835664509416424
13860.0,231.0,0.0012712469371372302,13860.0,231.0,0.006619354395944428
14040.0,234.0,0.0012205276496604135,14040.0,234.0,0.006412507918953957
14220.0,237.0,0.0011725864746817206,14220.0,237.0,0.006214599293707197
14400.0,240.0,0.001127231551443844,14400.0,240.0,0.006025138004844571
14580.0,243.0,0.0010842869014316804,14580.0,243.0,0.005843666043950521
14760.0,246.0,0.001043590904465498,14760.0,246.0,0.005669755393808421
14940.0,249.0,0.001004994940278212,14940.0,249.0,0.005503005734670472
15120.0,252.0,0.0009683621755990321,15120.0,252.0,0.005343042350594684
15300.0,255.0,0.0009335664794099932,15300.0,255.0,0.005189514216298286
15480.0,258.0,0.0009004914513066143,15480.0,258.0,0.005042092247087961
15660.0,261.0,0.0008690295498377353,15660.0,261.0,0.004900467696289258
15840.0,264.0,0.0008390813093712713,15840.0,264.0,0.004764350686242203
16020.0,267.0,0.0008105546354732101,16020.0,267.0,0.004633468860384989
16200.0,270.0,0.0007833641700310129,16200.0,270.0,0.00450756614523638
16380.0,273.0,0.0007574307184285631,16380.0,273.0,0.0043864016122307
16560.0,276.0,0.0007326807320123494,16560.0,276.0,0.004269748430374763
16740.0,279.0,0.0007090458398982311,16740.0,279.0,0.004157392901599366
16920.0,282.0,0.0006864624248723791,16920.0,282.0,0.0040491335714823206
17100.0,285.0,0.0006648712387535864,17100.0,285.0,0.003944780408737414
17280.0,288.0,0.0006442170531196788,17280.0,288.0,0.003844154047504055
17460.0,291.0,0.0006244483417689262,17460.0,291.0,0.003747085087044933
17640.0,294.0,0.0006055169916973184,17640.0,294.0,0.0036534134439713878
17820.0,297.0,0.0005873780397320929,17820.0,297.0,0.0035629877525752856
18000.0,300.0,0.0005699894322777297,18000.0,300.0,0.003475664809258055
18180.0,303.0,0.0005533118059084364,18180.0,303.0,0.0033913090574173763
18360.0,306.0,0.0005373082867859297,18360.0,306.0,0.0033097921094845163
18540.0,309.0,0.000521944307097272,18540.0,309.0,0.0032309923031045543
18720.0,312.0,0.0005071874368983288,18720.0,312.0,0.003154794288721339
18900.0,315.0,0.0004930072299172512,18900.0,315.0,0.003081088646072157
19080.0,318.0,0.00047937508202194814,19080.0,318.0,0.003009771527316596
19260.0,321.0,0.00046626410118822754,19260.0,321.0,0.0029407443247224047
19440.0,324.0,0.00045364898792315476,19440.0,324.0,0.002873913361010632
19620.0,327.0,0.0004415059252030308,19620.0,327.0,0.0028091896006246773
19800.0,330.0,0.0004298124770787665,19800.0,330.0,0.002746488380335174
19980.0,333.0,0.00041854749518469047,19980.0,333.0,0.0026857291577261065
20160.0,336.0,0.00040769103246115525,20160.0,336.0,0.0026268352762288095
20340.0,339.0,0.000397224263467744,20340.0,339.0,0.0025697337454806436
20520.0,342.0,0.0003871294107233192,20520.0,342.0,0.0025143550358853513
20700.0,345.0,0.00037738967656242333,20700.0,345.0,0.0024606328863432552
20880.0,348.0,0.00036798918004528477,20880.0,348.0,0.002408504124202567
