t_sec_kinematic,t_min_kinematic,Q_Kinematic_model,t_sec_pond,t_min_pond,Q_Pond_model
0.0,0.0,0.0,0.0,0.0,0.0
114.28571428571429,1.9047619047619049,0.0,114.28571428571429,1.9047619047619049,0.0
120.0,2.0,1.9861764806747743e-05,120.0,2.0,1.986077864125525e-05
240.0,4.0,0.0034307491908821485,240.0,4.0,0.003402766172909851
360.0,6.0,0.010482509407915471,360.0,6.0,0.010264685578462041
480.0,8.0,0.02033844716210973,480.0,8.0,0.019561723052179108
600.0,10.0,0.03263743684169492,600.0,10.0,0.03070203072318184
720.0,12.0,0.04715498492227605,720.0,12.0,0.04322682378230982
840.0,14.0,0.06373197392917264,840.0,14.0,0.05675121300654456
960.0,16.0,0.08224711894445652,960.0,16.0,0.07094476217531748
1080.0,18.0,0.102603539439158,1080.0,18.0,0.0855233201047807
1200.0,20.0,0.1247212638663549,1200.0,20.0,0.10024457425263965
1320.0,22.0,0.14853264917691103,1320.0,22.0,0.1149047749417652
1440.0,24.0,0.17397939236291918,1440.0,24.0,0.1293357013931916
1560.0,26.0,0.20101048132734964,1560.0,26.0,0.14340156108352675
1680.0,28.0,0.22958073375499272,1680.0,28.0,0.15699576944774368
1800.0,30.0,0.2596497217428274,1800.0,30.0,0.17003765993212563
1920.0,32.0,0.2911809593602495,1920.0,32.0,0.18246920802023858
2040.0,34.0,0.32414127519676605,2040.0,34.0,0.19425185402739473
2072.5824390076687,34.543040650127814,0.33333333333333337,2072.5824390076687,34.543040650127814,0.197334674042945
2160.0,36.0,0.33333333333333337,2160.0,36.0,0.20536081091537184
2280.0,38.0,0.33333333333333337,2280.0,38.0,0.21579319100552366
2400.0,40.0,0.33333333333333337,2400.0,40.0,0.22554885789788834
2520.0,42.0,0.33333333333333337,2520.0,42.0,0.23463942549237599
2640.0,44.0,0.33333333333333337,2640.0,44.0,0.24308342931360521
2760.0,46.0,0.33333333333333337,2760.0,46.0,0.2509046218952678
2880.0,48.0,0.33333333333333337,2880.0,48.0,0.2581305229938804
3000.0,50.0,0.33333333333333326,3000.0,50.0,0.2647912045023445
3120.0,52.0,0.3006660872828604,3120.0,52.0,0.24162856452146406
3240.0,54.0,0.27068699425526466,3240.0,54.0,0.2212075560651625
3360.0,56.0,0.24329033600021022,3360.0,56.0,0.20312447271906392
3480.0,58.0,0.2183576277155219,3480.0,58.0,0.18704598262268293
3600.0,60.0,0.19575899312747558,3600.0,60.0,0.17269507174320012
3720.0,62.0,0.17535507235294062,3720.0,62.0,0.15984013104344888
3840.0,64.0,0.15699937554102944,3840.0,64.0,0.1482864135225221
3960.0,66.0,0.14054094597971634,3960.0,66.0,0.13786929414158522
4080.0,68.0,0.1258271626111356,4080.0,68.0,0.12844891313849985
4200.0,70.0,0.11270650027328505,4200.0,70.0,0.1199058894419963
4320.0,72.0,0.10103107828105895,4320.0,72.0,0.11213786814938081
4440.0,74.0,0.0906588608010181,4440.0,74.0,0.10505672275897039
4560.0,76.0,0.08145541850691022,4560.0,76.0,0.09858627487636257
4680.0,78.0,0.07329521118046378,4680.0,78.0,0.09266042551414529
4800.0,80.0,0.06606239694796642,4800.0,80.0,0.08722161575222655
4920.0,82.0,0.059651209922065046,4920.0,82.0,0.08221955246929835
5040.0,84.0,0.05396597151895553,5040.0,84.0,0.07761014856842968
5160.0,86.0,0.048920811849971775,5160.0,86.0,0.07335463767016463
5280.0,88.0,0.04443917847458563,5280.0,88.0,0.06941883141635037
5400.0,90.0,0.04045320345998199,5400.0,90.0,0.06577249389322065
5520.0,92.0,0.03690298915728104,5520.0,92.0,0.062388812670619985
5640.0,94.0,0.03373586091018842,5640.0,94.0,0.059243949885350804
5760.0,96.0,0.030905622875002207,5760.0,96.0,0.05631665991105597
5880.0,98.0,0.028371842360083558,5880.0,98.0,0.05358796263704471
6000.0,100.0,0.026099179119035944,6000.0,100.0,0.05104086336289757
6120.0,102.0,0.024056768977530858,6120.0,102.0,0.048660111910991684
6240.0,104.0,0.022217665911087304,6240.0,104.0,0.04643199484731502
6360.0,106.0,0.02055834296533135,6360.0,106.0,0.04434415574566666
6480.0,108.0,0.01905824992439921,6480.0,108.0,0.04238543928109187
6600.0,110.0,0.01769942409946301,6600.0,110.0,0.04054575563394043
6720.0,112.0,0.016466149775664237,6720.0,112.0,0.038815962256750075
6840.0,114.0,0.015344661515202484,6840.0,114.0,0.037187760526332235
6960.0,116.0,0.014322886505489569,6960.0,116.0,0.03565360519208717
7080.0,118.0,0.013390221343085795,7080.0,118.0,0.03420662485393275
7200.0,120.0,0.012537338969017668,7200.0,120.0,0.03284055197148224
7320.0,122.0,0.011756021857855545,7320.0,122.0,0.03154966113004304
7440.0,124.0,0.011039017970440056,7440.0,124.0,0.03032871447652375
7560.0,126.0,0.010379916381908924,7560.0,126.0,0.02917291339582081
7680.0,128.0,0.009773039876685869,7680.0,128.0,0.028077855630897253
7800.0,130.0,0.00921335215159844,7800.0,130.0,0.02703949716179362
7920.0,132.0,0.008696377583413325,7920.0,132.0,0.02605411825368206
8040.0,134.0,0.008218131797087865,8040.0,134.0,0.025118293164626698
8160.0,136.0,0.007775061517153957,8160.0,136.0,0.024228863072278523
8280.0,138.0,0.007363992399200495,8280.0,138.0,0.02338291183723937
8400.0,140.0,0.006982083724284925,8400.0,140.0,0.022577744270869768
8520.0,142.0,0.006626788999353309,8520.0,142.0,0.021810866618213874
8640.0,144.0,0.006295821644417247,8640.0,144.0,0.021079969003572865
8760.0,146.0,0.005987125065192954,8760.0,146.0,0.020382909617994292
8880.0,148.0,0.0056988465107817195,8880.0,148.0,0.019717700455330056
9000.0,150.0,0.0054293142021223815,9000.0,150.0,0.019082494427193116
9120.0,152.0,0.005177017290463642,9120.0,152.0,0.0184755737076567
9240.0,154.0,0.004940588267813617,9240.0,154.0,0.01789533917634654
9360.0,156.0,0.004718787504809362,9360.0,156.0,0.017340300844062788
9480.0,158.0,0.004510489637076157,9480.0,158.0,0.016809069158560955
9600.0,160.0,0.004314671560085237,9600.0,160.0,0.016300347099898426
9720.0,162.0,0.004130401825769952,9720.0,162.0,0.015812922985050427
9840.0,164.0,0.003956831262576357,9840.0,164.0,0.01534566391051834
9960.0,166.0,0.0037931846649297274,9960.0,166.0,0.014897509769565631
10080.0,168.0,0.003638753418908592,10080.0,168.0,0.01446746778766936
10200.0,170.0,0.003492888948755034,10200.0,170.0,0.014054607525894455
10320.0,172.0,0.0033549968841563157,10320.0,172.0,0.013658056307291657
10440.0,174.0,0.003224531861383534,10440.0,174.0,0.013276995026181574
10560.0,176.0,0.0031009928826862647,10560.0,176.0,0.012910654304396798
10680.0,178.0,0.002983919168086782,10680.0,178.0,0.012558310962281069
10800.0,180.0,0.002872886442122955,10800.0,180.0,0.012219284775548511
10920.0,182.0,0.002767503605348478,10920.0,182.0,0.01189293549203958
11040.0,184.0,0.002667409746678048,11040.0,184.0,0.01157866008501802
11160.0,186.0,0.0025722714581032547,11160.0,186.0,0.011275890221974593
11280.0,188.0,0.0024817804180213674,11280.0,188.0,0.010984089929972107
11400.0,190.0,0.00239565121351564,11400.0,190.0,0.01070275344041278
11520.0,192.0,0.002313619375488389,11520.0,192.0,0.01043140319775846
11640.0,194.0,0.0022354396036510316,11640.0,194.0,0.010169588018210116
11760.0,196.0,0.002160884161081449,11760.0,196.0,0.009916881385674524
11880.0,198.0,0.002089741420422473,11880.0,198.0,0.00967287987353124
12000.0,200.0,0.0020218145458622268,12000.0,200.0,0.009437201681776652
12120.0,202.0,0.001956920296847156,12120.0,202.0,0.009209485280077869
12240.0,204.0,0.0018948879410658555,12240.0,204.0,0.008989388148129064
12360.0,206.0,0.0018355582656355732,12360.0,206.0,0.008776585605477463
12480.0,208.0,0.0017787826766487217,12480.0,208.0,0.008570769723684188
12600.0,210.0,0.0017244223783156106,12600.0,210.0,0.008371648314315206
12720.0,212.0,0.0016723476238906406,12720.0,212.0,0.008178943986826736
12840.0,214.0,0.0016224370314086355,12840.0,214.0,0.007992393270923995
12960.0,216.0,0.001574576957999833,12960.0,216.0,0.007811745798437885
13080.0,218.0,0.0015286609272084687,13080.0,218.0,0.007636763540186052
13200.0,220.0,0.0014845891043213965,13200.0,220.0,0.007467220093667345
13320.0,222.0,0.0014422678152290294,13320.0,222.0,0.007302900017785827
13440.0,224.0,0.0014016091047989144,13440.0,224.0,0.007143598211115845
13560.0,226.0,0.001362530331149515,13560.0,226.0,0.006989119330506416
13680.0,228.0,0.0013249537925742853,13680.0,228.0,0.006839277247084012
13800.0,230.0,0.0012888063841891137,13800.0,230.0,0.006693894536950499
13920.0,232.0,0.001254019281664399,13920.0,232.0,0.0065528020040894535
14040.0,234.0,0.0012205276496604135,14040.0,234.0,0.006415838233191684
14160.0,236.0,0.0011882703728146513,14160.0,236.0,0.006282849170291095
14280.0,238.0,0.0011571898073358432,14280.0,238.0,0.006153687729266828
14400.0,240.0,0.001127231551443844,14400.0,240.0,0.006028213422418205
14520.0,242.0,0.0010983442330600168,14520.0,242.0,0.005906292013456942
14640.0,244.0,0.0010704793133014174,14640.0,244.0,0.0057877951913872655
14760.0,246.0,0.001043590904465498,14760.0,246.0,0.005672600263860264
14880.0,248.0,0.0010176356013122524,14880.0,248.0,0.005560589868694942
15000.0,250.0,0.0009925723245588095,15000.0,250.0,0.005451651702355713
15120.0,252.0,0.0009683621755990321,15120.0,252.0,0.005345678264265559
15240.0,254.0,0.0009449683015485717,15240.0,254.0,0.005242566615916199
15360.0,256.0,0.0009223557697952758,15360.0,256.0,0.005142218153812167
