t_sec_kinematic,t_min_kinematic,Q_Kinematic_model,t_sec_pond,t_min_pond,Q_Pond_model
0.0,0.0,0.0,0.0,0.0,0.0
114.28571428571429,1.9047619047619049,0.0,114.28571428571429,1.9047619047619049,0.0
120.0,2.0,3.972352961349549e-05,120.0,2.0,3.971958518653706e-05
240.0,4.0,0.006861498381764297,240.0,4.0,0.006750642741769802
360.0,6.0,0.020965018815830943,360.0,6.0,0.020110692299653454
480.0,8.0,0.04067689432421946,480.0,8.0,0.0376718756177548
600.0,10.0,0.06527487368338984,600.0,10.0,0.05791044529552831
720.0,12.0,0.0943099698445521,720.0,12.0,0.07964205011312343
840.0,14.0,0.12746394785834528,840.0,14.0,0.1019268076823739
960.0,16.0,0.16449423788891304,960.0,16.0,0.12403476134447992
1080.0,18.0,0.205207078878316,1080.0,18.0,0.14542108791148506
1200.0,20.0,0.2494425277327098,1200.0,20.0,0.16570117408139262
1320.0,22.0,0.29706529835382206,1320.0,22.0,0.18462468454828626
1406.279724241348,23.437995404022466,0.33333333333333337,1406.279724241348,23.437995404022466,0.1973040374072618
1440.0,24.0,0.33333333333333337,1440.0,24.0,0.20204050077322083
1560.0,26.0,0.33333333333333337,1560.0,26.0,0.2179111043666279
1680.0,28.0,0.33333333333333337,1680.0,28.0,0.23223231882864484
1800.0,30.0,0.33333333333333337,1800.0,30.0,0.24505534831491615
1920.0,32.0,0.33333333333333337,1920.0,32.0,0.2564617031997396
2040.0,34.0,0.33333333333333337,2040.0,34.0,0.26655149252583993
2160.0,36.0,0.33333333333333337,2160.0,36.0,0.27543448949710425
2280.0,38.0,0.33333333333333337,2280.0,38.0,0.2832235485428639
2400.0,40.0,0.33333333333333337,2400.0,40.0,0.2900299428800408
2520.0,42.0,0.33333333333333337,2520.0,42.0,0.29596022080627893
2640.0,44.0,0.33333333333333337,2640.0,44.0,0.3011142283839771
2760.0,46.0,0.33333333333333337,2760.0,46.0,0.3055840028778102
2880.0,48.0,0.33333333333333337,2880.0,48.0,0.3094532973007302
3000.0,50.0,0.33333333333333326,3000.0,50.0,0.31279754729654685
3120.0,52.0,0.2848760441844281,3120.0,52.0,0.2700657548520584
3240.0,54.0,0.24246976739707768,3240.0,54.0,0.2350892897533143
3360.0,56.0,0.20571233657973353,3360.0,56.0,0.20614650238012844
3480.0,58.0,0.17414234223564537,3480.0,58.0,0.18196119888834386
3600.0,60.0,0.14725529612512273,3600.0,60.0,0.16157247335565353
3720.0,62.0,0.12452419817146658,3720.0,62.0,0.1442465626701722
3840.0,64.0,0.10542161690297823,3840.0,64.0,0.12941597619548012
3960.0,66.0,0.0894401298509421,3960.0,66.0,0.11663671012185432
4080.0,68.0,0.07610859502203143,4080.0,68.0,0.10555768669380493
4200.0,70.0,0.06500292245561912,4200.0,70.0,0.09589860344738939
4320.0,72.0,0.05575128406594473,4320.0,72.0,0.08743366144899113
4440.0,74.0,0.048034635678434745,4440.0,74.0,0.07997946401751127
4560.0,76.0,0.041583871601196705,4560.0,76.0,0.07338591416772376
4680.0,78.0,0.03617495523219383,4680.0,78.0,0.06752929530134207
4800.0,80.0,0.03162313785237458,4800.0,80.0,0.06230695990496288
4920.0,82.0,0.027777055893983865,4920.0,82.0,0.05763321535917944
5040.0,84.0,0.024513192776393983,5040.0,84.0,0.0534361099155205
5160.0,86.0,0.021730954044866416,5160.0,86.0,0.04965490190451344
5280.0,88.0,0.01934844268630551,5280.0,88.0,0.04623805207119833
5400.0,90.0,0.017298923639487578,5400.0,90.0,0.04314161974937302
5520.0,92.0,0.015527915149836813,5520.0,92.0,0.04032797319899119
5640.0,94.0,0.01399082347264155,5640.0,94.0,0.03776474612448429
5760.0,96.0,0.012651034067728113,5760.0,96.0,0.03542398842792526
5880.0,98.0,0.011478378397633437,5880.0,98.0,0.033281471206796864
6000.0,100.0,0.010447905478176606,6000.0,100.0,0.031316114992034766
6120.0,102.0,0.009538898418519523,6120.0,102.0,0.029509517027452
6240.0,104.0,0.008734086757466838,6240.0,104.0,0.027845558583104946
6360.0,106.0,0.008019014752652388,6360.0,106.0,0.026310077282656136
6480.0,108.0,0.007381533695138848,6480.0,108.0,0.0248905925075629
6600.0,110.0,0.0068113928406855085,6600.0,110.0,0.023576074339066916
6720.0,112.0,0.0062999088207948105,6720.0,112.0,0.02235674837557403
6840.0,114.0,0.005839697609483136,6840.0,114.0,0.021223930239809754
6960.0,116.0,0.005424456462172784,6960.0,116.0,0.020169884758565057
7080.0,118.0,0.0050487858789958154,7080.0,118.0,0.01918770572706263
7200.0,120.0,0.004708043719046733,7200.0,120.0,0.0182712129125951
7320.0,122.0,0.004398225222458613,7320.0,122.0,0.017414863548385184
7440.0,124.0,0.004115863978571269,7440.0,124.0,0.016613676049591995
7560.0,126.0,0.0038579498864425624,7560.0,126.0,0.015863164073025852
7680.0,128.0,0.003621860948052019,7680.0,128.0,0.015159279359096528
7800.0,130.0,0.003405306361391311,7800.0,130.0,0.014498362053395886
7920.0,132.0,0.0032062788766277104,7920.0,132.0,0.013877097417564729
8040.0,134.0,0.0030230147720180806,8040.0,134.0,0.013292478013759147
8160.0,136.0,0.0028539601193146463,8160.0,136.0,0.012741770591282347
8280.0,138.0,0.0026977422582249765,8280.0,138.0,0.01222248702349003
8400.0,140.0,0.0025531455994603626,8400.0,140.0,0.011732358742472283
8520.0,142.0,0.0024190910364823566,8520.0,142.0,0.011269314201923205
8640.0,144.0,0.002294618375410109,8640.0,144.0,0.010831458967979608
8760.0,146.0,0.0021788712970873,8760.0,146.0,0.01041705809602656
8880.0,148.0,0.0020710844500587858,8880.0,148.0,0.010024520500464826
9000.0,150.0,0.0019705723421374497,9000.0,150.0,0.009652385065788804
9120.0,152.0,0.0018767197544815807,9120.0,152.0,0.009299308282320258
9240.0,154.0,0.001788973448132185,9240.0,154.0,0.00896405321963794
9360.0,156.0,0.00170683497074768,9360.0,156.0,0.008645479676003254
9480.0,158.0,0.0016298544023899291,9480.0,158.0,0.008342535363622786
9600.0,160.0,0.0015576249049145275,9600.0,160.0,0.008054248008001285
9720.0,162.0,0.001489777960804959,9720.0,162.0,0.007779718255414225
9840.0,164.0,0.0014259792049725536,9840.0,164.0,0.007518113296075631
9960.0,166.0,0.0013659247677736768,9960.0,166.0,0.007268661122234731
10080.0,168.0,0.0013093380597988646,10080.0,168.0,0.007030645350488822
10200.0,170.0,0.0012559669392930271,10200.0,170.0,0.006803400546288161
10320.0,172.0,0.0012055812117186225,10320.0,172.0,0.006586307996132241
10440.0,174.0,0.0011579704182582645,10440.0,174.0,0.006378791879484325
10560.0,176.0,0.0011129418762012321,10560.0,176.0,0.006180315798105221
10680.0,178.0,0.0010703189393598193,10680.0,178.0,0.005990379625448844
10800.0,180.0,0.0010299394510726162,10800.0,180.0,0.005808516643073149
10920.0,182.0,0.0009916543661014669,10920.0,182.0,0.005634290934787966
11040.0,184.0,0.0009553265209234118,11040.0,184.0,0.005467295012559838
11160.0,186.0,0.000920829534646691,11160.0,186.0,0.005307147651086664
11280.0,188.0,0.000888046825114022,11280.0,188.0,0.005153491910495733
11400.0,190.0,0.0008568707267579852,11400.0,190.0,0.005005993328854065
11520.0,192.0,0.0008272016984933312,11520.0,192.0,0.004864338268149413
11640.0,194.0,0.0007989476114119924,11640.0,194.0,0.004728232399138394
11760.0,196.0,0.0007720231073242317,11760.0,196.0,0.004597399311994079
11880.0,198.0,0.0007463490202938074,11880.0,198.0,0.004471579241044787
12000.0,200.0,0.0007218518542714439,12000.0,200.0,0.004350527893100555
12120.0,202.0,0.0006984633107607327,12120.0,202.0,0.0042340153699329496
12240.0,204.0,0.0006761198611718371,12240.0,204.0,0.00412182517642408
12360.0,206.0,0.0006547623591463485,12360.0,206.0,0.004013753306746166
12480.0,208.0,0.0006343356886843777,12480.0,208.0,0.003909607401686379
12600.0,210.0,0.0006147884443834647,12600.0,210.0,0.003809205970903714
12720.0,212.0,0.0005960726405176276,12720.0,212.0,0.003712377674504976
12840.0,214.0,0.0005781434460518808,12840.0,214.0,0.0036189606588637895
12960.0,216.0,0.0005609589430097428,12960.0,216.0,0.0035288019420871837
13080.0,218.0,0.0005444799058944883,13080.0,218.0,0.0034417568449651727
13200.0,220.0,0.0005286696001143375,13200.0,220.0,0.0033576884636253605
13320.0,222.0,0.0005134935975816936,13320.0,222.0,0.003276467180461951
13440.0,224.0,0.0004989196078507463,13440.0,224.0,0.0031979702102209405
13560.0,226.0,0.00048491732332952165,13560.0,226.0,0.003122081178404492
13680.0,228.0,0.00047145827725452686,13680.0,228.0,0.003048689729410979
13800.0,230.0,0.0004585157132509944,13800.0,230.0,0.0029776911620558438
13920.0,232.0,0.0004460644654214655,13920.0,232.0,0.002908986090324942
14040.0,234.0,0.00043408084801190185,14040.0,234.0,0.0028424801273986906
14160.0,236.0,0.00042254255379925687,14160.0,236.0,0.0027780835911542794
14280.0,238.0,0.0004114285604288945,14280.0,238.0,0.002715711229506151
14400.0,240.0,0.0004007190440055977,14400.0,240.0,0.002655281964083661
14520.0,242.0,0.0003903952993092226,14520.0,242.0,0.0025967186508706343
14640.0,244.0,0.00038043966606628025,14640.0,244.0,0.002539947856545824
14760.0,246.0,0.00037083546076263955,14760.0,246.0,0.0024848996493671434
14880.0,248.0,0.00036156691353088176,14880.0,248.0,0.002431507403537034
15000.0,250.0,0.0003526191096892172,15000.0,250.0,0.002379707616072368
15120.0,252.0,0.0003439779355478491,15120.0,252.0,0.002329439735280696
15240.0,254.0,0.00033563002813371255,15240.0,254.0,0.0022806460000161454
