t_min,t_sec,t_rel,y,q,Q
0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0
1.2903225806451613,77.41935483870968,0.0,0.0,0.0,0.0
2.0,120.0,42.58064516129032,0.001064516129032258,1.1098230575100496e-05,0.0016647345862650744
3.0,180.0,102.58064516129032,0.0025645161290322577,4.8048045343478136e-05,0.00720720680152172
4.0,240.0,162.5806451612903,0.004064516129032257,0.0001035177329042516,0.01552765993563774
5.0,300.0,222.5806451612903,0.005564516129032257,0.0001747346398921505,0.026210195983822578
6.0,360.0,282.5806451612903,0.007064516129032257,0.0002600982129695893,0.03901473194543839
7.0,420.0,342.5806451612903,0.008564516129032257,0.0003585128440718363,0.05377692661077545
8.0,480.0,402.5806451612903,0.010064516129032256,0.0004691605646569043,0.07037408469853565
9.0,540.0,462.5806451612903,0.011564516129032257,0.0005913969906686874,0.08870954860030311
10.0,600.0,522.5806451612904,0.013064516129032257,0.0007246954739590792,0.10870432109386187
11.0,660.0,582.5806451612904,0.014564516129032258,0.0008686138862858515,0.13029208294287772
12.0,720.0,642.5806451612904,0.016064516129032258,0.0010227733773495377,0.15341600660243065
13.0,780.0,702.5806451612904,0.017564516129032256,0.0011868440323514558,0.17802660485271837
14.0,840.0,762.5806451612904,0.019064516129032257,0.001360534769798148,0.20408021546972221
15.0,900.0,822.5806451612904,0.02056451612903226,0.001543585980434453,0.23153789706516795
16.0,960.0,882.5806451612904,0.022064516129032256,0.0017357640120540757,0.2603646018081114
17.0,1020.0,942.5806451612904,0.023564516129032258,0.001936856939941271,0.29052854099119063
18.0,1080.0,1002.5806451612904,0.025064516129032256,0.002146671258465833,0.322000688769875
19.0,1140.0,1062.5806451612902,0.026564516129032253,0.0023650292488191747,0.35475438732287623
20.0,1200.0,1122.5806451612902,0.028064516129032255,0.002591766853505177,0.3887650280257765
21.0,1260.0,1182.5806451612902,0.029564516129032253,0.002826731937604944,0.4240097906407416
22.0,1320.0,1242.5806451612902,0.031064516129032254,0.003069782850005567,0.460467427500835
23.0,1380.0,1302.5806451612902,0.03256451612903225,0.003320787220594796,0.4981180830892194
24.0,1440.0,1362.5806451612902,0.03406451612903225,0.003579620945447937,0.5369431418171905
24.64250645320188,1478.5503871921128,1401.131032353403,0.03502827580883507,0.00375,0.5625
25.0,1500.0,1422.5806451612902,0.03502827580883507,0.00375,0.5625
26.0,1560.0,1482.5806451612902,0.03502827580883507,0.00375,0.5625
27.0,1620.0,1542.5806451612902,0.03502827580883507,0.00375,0.5625
28.0,1680.0,1602.5806451612902,0.03502827580883507,0.00375,0.5625
29.0,1740.0,1662.5806451612902,0.03502827580883507,0.00375,0.5625
30.0,1800.0,1722.5806451612902,0.03502827580883507,0.00375,0.5625
31.0,1860.0,1782.5806451612902,0.03502827580883507,0.00375,0.5625
32.0,1920.0,1842.5806451612902,0.03502827580883507,0.00375,0.5625
33.0,1980.0,1902.5806451612902,0.03502827580883507,0.00375,0.5625
34.0,2040.0,1962.5806451612902,0.03502827580883507,0.00375,0.5625
35.0,2100.0,2022.5806451612902,0.03502827580883507,0.00375,0.5625
36.0,2160.0,2082.5806451612902,0.03502827580883507,0.00375,0.5625
37.0,2220.0,2142.5806451612902,0.03502827580883507,0.00375,0.5625
38.0,2280.0,2202.5806451612902,0.03502827580883507,0.00375,0.5625
39.0,2340.0,2262.5806451612902,0.03502827580883507,0.00375,0.5625
40.0,2400.0,2322.5806451612902,0.03502827580883507,0.00375,0.5625
41.0,2460.0,2382.5806451612902,0.03502827580883507,0.00375,0.5625
42.0,2520.0,2442.5806451612902,0.03502827580883507,0.00375,0.5625
43.0,2580.0,2502.5806451612902,0.03502827580883507,0.00375,0.5625
44.0,2640.0,2562.5806451612902,0.03502827580883507,0.00375,0.5625
45.0,2700.0,2622.5806451612902,0.03502827580883507,0.00375,0.5625
46.0,2760.0,2682.5806451612902,0.03502827580883507,0.00375,0.5625
47.0,2820.0,2742.5806451612902,0.03502827580883507,0.00375,0.5625
48.0,2880.0,2802.5806451612902,0.03502827580883507,0.00375,0.5625
49.0,2940.0,2862.5806451612902,0.03502827580883507,0.00375,0.5625
50.0,3000.0,2922.5806451612902,0.03502827580883507,0.00375,0.5625
51.0,3060.0,2982.5806451612902,0.033549886297978594,0.003489943701278035,0.5234915551917052
52.0,3120.0,3042.5806451612902,0.032115475558158704,0.0032448198906782325,0.4867229836017349
53.0,3180.0,3102.5806451612902,0.030726083145848623,0.003014245832022829,0.45213687480342435
54.0,3240.0,3162.5806451612902,0.029382603257825626,0.0027978029155538756,0.41967043733308135
