t_min,t_sec,dt,i_prom,o_prom,y,Q,V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0
1.6438356164383563,98.63013698630138,38.63013698630138,0.0,0.0,0.0,0.0,0.0
2.0,120.0,21.36986301369862,16.621004566210036,0.01612287266234732,0.00041512204233869215,0.001508935518399173,0.01612287266234732
3.0,180.0,60.0,46.66666666666666,0.4609746408229086,0.0015702643429847858,0.013856885842364447,0.4770975134852559
4.0,240.0,60.0,46.66666666666666,1.4421624296468927,0.00270087694891028,0.03421519514586531,1.9192599431321486
5.0,300.0,60.0,46.66666666666666,2.8370740507658017,0.003796616764307801,0.06035393987966141,4.75633399389795
6.0,360.0,60.0,46.66666666666666,4.533693910692353,0.004849941083207159,0.09076919047675037,9.290027904590303
7.0,420.0,60.0,46.66666666666666,6.450591644966438,0.005855342958749664,0.12425053102213089,15.74061954955674
8.0,480.0,60.0,46.66666666666666,8.52083822731783,0.006808988669733385,0.15977740988846337,24.26145777687457
9.0,540.0,60.0,46.66666666666666,10.687795875388119,0.007708460439515349,0.19648245262447386,34.94925365226268
10.0,600.0,60.0,46.66666666666666,12.903495918892887,0.008552539708209694,0.23363407800528907,47.85274957115557
11.0,660.0,60.0,46.66666666666666,15.127766306888544,0.009341012217204146,0.2706247988909958,62.980515878044116
12.0,720.0,60.0,46.66666666666666,17.32756524926063,0.010074489752639297,0.3069607094176919,80.30808112730475
13.0,780.0,60.0,46.66666666666666,19.476344148865063,0.010754247815584336,0.3422507622111436,99.78442527616981
14.0,840.0,60.0,46.66666666666666,21.55339128922893,0.01138207970002028,0.3761956140964875,121.33781656539875
15.0,900.0,60.0,46.66666666666666,23.543156121940985,0.011960167463638422,0.4085762566348785,144.88097268733975
16.0,960.0,60.0,46.66666666666666,25.43457089184574,0.012490969858008944,0.43924277309331283,170.3155435791855
16.728648041769222,1003.7188825061532,43.71888250615325,34.00357528256364,19.666767443955276,0.012849390053974154,0.4604493652493019,189.98231102314077
17.0,1020.0,16.28111749384675,12.663091384103026,7.558875302623792,0.012976995456011135,0.46809565698035493,197.54118632576456
18.0,1080.0,60.0,46.66666666666666,28.896105233935764,0.013421259491829407,0.49510785081750386,226.43729155970033
19.0,1140.0,60.0,46.66666666666666,30.46123448660086,0.013826395296331052,0.5202666320691915,256.8985260463012
20.0,1200.0,60.0,46.66666666666666,31.91595706542009,0.014195163036362216,0.5435986034448115,288.8144831117213
21.0,1260.0,60.0,46.66666666666666,33.2625826609364,0.014530265136505472,0.5651541519197352,322.0770657726577
22.0,1320.0,60.0,46.66666666666666,34.50466476840386,0.014834315183962042,0.5850013403603934,356.5817305410616
23.0,1380.0,60.0,46.66666666666666,35.6466631238071,0.01510981527253353,0.6032207637665098,392.2283936648687
24.0,1440.0,60.0,46.66666666666666,36.69366166322002,0.015359140397619696,0.6199012916741576,428.92205532808873
25.0,1500.0,60.0,46.66666666666666,37.6511368984543,0.015584528641825005,0.6351366049409853,466.57319222654303
26.0,1560.0,60.0,46.66666666666666,38.524771048544295,0.015788076032278064,0.6490224300104911,505.0979632750873
27.0,1620.0,60.0,46.66666666666666,39.32030413743896,0.015971735095508758,0.6616543745708073,544.4182674125262
28.0,1680.0,60.0,46.66666666666666,40.0434194383349,0.01613731627621705,0.6731262733736895,584.4616868508612
29.0,1740.0,60.0,46.66666666666666,40.69965701109207,0.016286491517606416,0.6835289603293796,625.1613438619532
30.0,1800.0,60.0,46.66666666666666,41.2943505600589,0.01642079942027161,0.6929493916725837,666.4556944220121
31.0,1860.0,60.0,46.66666666666666,41.83258337470414,0.01654165150257067,0.7014700541508878,708.2882777967163
32.0,1920.0,60.0,46.66666666666666,42.31915966138607,0.016650339177702686,0.709168601228648,750.6074374581024
33.0,1980.0,60.0,46.66666666666666,42.758588102147954,0.016748041141815655,0.7161176688429505,793.3660255602504
34.0,2040.0,60.0,46.66666666666666,43.15507496729748,0.016835830934299884,0.7223848300669656,836.5211005275479
35.0,2100.0,60.0,46.66666666666666,43.512524552545635,0.016914684487152908,0.7280326550178893,880.0336250800935
36.0,2160.0,60.0,46.66666666666666,43.83454510433252,0.01698548752621126,0.7331188484598616,923.868170184426
37.0,2220.0,60.0,46.66666666666666,44.124458738344416,0.017049042724419317,0.7376964428182855,967.9926289227705
38.0,2280.0,60.0,46.66666666666666,44.38531414841427,0.017106076537375628,0.7418140287955234,1012.3779430711847
39.0,2340.0,60.0,46.66666666666666,44.619901149828436,0.017157245675296584,0.7455160095320912,1056.997844221013
40.0,2400.0,60.0,46.66666666666666,44.8307663071619,0.017203143184284203,0.7488428673733055,1101.828610528175
41.0,2460.0,60.0,46.66666666666666,45.020229067032176,0.017244304124275064,0.7518314348611003,1146.8488395952072
42.0,2520.0,60.0,46.66666666666666,45.19039795542831,0.017281210842056024,0.7545151636531768,1192.0392375506356
43.0,2580.0,60.0,46.66666666666666,45.34318651208361,0.0173142978459206,0.7569243867496104,1237.382424062719
44.0,2640.0,60.0,46.66666666666666,45.48032872486544,0.01734395629446563,0.7590865707459041,1282.8627527875844
45.0,2700.0,60.0,46.66666666666666,45.60339379904391,0.017370538116156197,0.7610265558888928,1328.4661465866284
46.0,2760.0,60.0,46.66666666666666,45.71380015279786,0.017394359779002916,0.7627667825377027,1374.1799467394262
47.0,2820.0,60.0,46.66666666666666,45.81282857419648,0.01741570573131467,0.7643275032688466,1419.9927753136226
48.0,2880.0,60.0,46.66666666666666,45.90163450851818,0.01743483153526838,0.765726980348426,1465.8944098221407
49.0,2940.0,60.0,46.66666666666666,45.981259470117486,0.017451966715182107,0.7669816686554899,1511.8756692922582
50.0,3000.0,60.0,46.66666666666666,46.05264159177946,0.017467317342054287,0.7681063844038254,1557.9283108840377
51.0,3060.0,60.0,46.66666666666666,46.11662533797578,0.01748106837527156,0.7691144601953677,1604.0449362220136
52.0,3120.0,60.0,46.66666666666666,46.173970417776694,0.017493385781493807,0.7700178870638555,1650.2189066397902
53.0,3180.0,60.0,46.66666666666666,46.22535993929263,0.017504418449678157,0.7708274442458987,1696.444266579083
54.0,3240.0,60.0,46.66666666666666,46.271407851155615,0.017514299920065934,0.7715528174592886,1742.7156744302386
55.0,3300.0,60.0,46.66666666666666,46.312665718297765,0.017523149943775157,0.77220270648397,1789.0283401485362
56.0,3360.0,60.0,46.66666666666666,46.34962887961643,0.017531075888451413,0.7727849228365776,1835.3779690281526
57.0,3420.0,60.0,46.66666666666666,46.38274203440881,0.017538174004257858,0.7733064783103828,1881.7607110625615
58.0,3480.0,60.0,46.66666666666666,46.41240430300817,0.01754453056334932,0.7737736651232228,1928.1731153655696
59.0,3540.0,60.0,46.66666666666666,46.4389738050923,0.01755022288488868,0.7741921283798542,1974.6120891706619
60.0,3600.0,60.0,46.66666666666666,46.46277179683974,0.017555320256634352,0.7745669315148036,2021.0748609675015
61.0,3660.0,60.0,0.0,44.09344307785507,0.016452984179687973,0.695214504413699,2065.1683040453568
62.0,3720.0,60.0,0.0,39.66044177032578,0.015461473135429829,0.6268002212638272,2104.8287458156824
63.0,3780.0,60.0,0.0,35.827753550157944,0.01456577929667588,0.5674582304081043,2140.6564993658403
64.0,3840.0,60.0,0.0,32.49467574653319,0.01375341240301255,0.5156976278096688,2173.1511751123735
65.0,3900.0,60.0,0.0,29.58042439801074,0.013013901793062282,0.47031651879068936,2202.731599510384
66.0,3960.0,60.0,0.0,27.019636777894863,0.01233841087361491,0.4303380404724728,2229.751236288279
67.0,4020.0,60.0,0.0,24.759006987804717,0.011719435698919792,0.3949621924543512,2254.5102432760837
68.0,4080.0,60.0,0.0,22.754741437379177,0.011150567162985313,0.36352918879162127,2277.264984713463
69.0,4140.0,60.0,0.0,20.970614778586192,0.010626301793520658,0.3354913038279185,2298.235599492049
70.0,4200.0,60.0,0.0,19.37647052813754,0.01014189003031722,0.3103910471099993,2317.6120700201864
71.0,4260.0,60.0,0.0,17.94705445644599,0.00969321366890607,0.28784410143820044,2335.5591244766324
72.0,4320.0,60.0,0.0,16.661099412692458,0.009276686183588758,0.2675258789848815,2352.2202238893246
73.0,4380.0,60.0,0.0,15.500601859905998,0.008889171137091109,0.24916084967865174,2367.7208257492307
74.0,4440.0,60.0,0.0,14.450245825405345,0.008527914991455976,0.23251401116819304,2382.1710715746362
75.0,4500.0,60.0,0.0,13.49694111175484,0.008190491463662105,0.21738402589030165,2395.668012686391
76.0,4560.0,60.0,0.0,12.629450735492007,0.007874755195274804,0.20359766529276527,2408.297463421883
77.0,4620.0,60.0,0.0,11.838088538393386,0.0075788029818149695,0.1910052859870143,2420.1355519602766
78.0,4680.0,60.0,0.0,11.114472354138728,0.007300941172961501,0.17947712581761,2431.2500243144154
79.0,4740.0,60.0,0.0,10.451321435855762,0.0070396581370651065,0.1689002553775821,2441.7013457502712
80.0,4800.0,60.0,0.0,9.842289357151918,0.006793600903136308,0.15917605652748182,2451.543635107423
81.0,4860.0,60.0,0.0,9.28182550513438,0.006561555265507949,0.15021812697699755,2460.8254606125574
82.0,4920.0,60.0,0.0,8.765059743012245,0.006342428771932643,0.14195053112341058,2469.59052035557
83.0,4980.0,60.0,0.0,8.287705944407787,0.006135236123322448,0.13430633369018233,2477.8782262999775
84.0,5040.0,60.0,0.0,7.845980973720608,0.0059390865989794326,0.12722636543383797,2485.724207273698
85.0,5100.0,60.0,0.0,7.436536367510501,0.00575317318979167,0.12065818014984539,2493.1607436412087
86.0,5160.0,60.0,0.0,7.056400506052858,0.005576763177140349,0.11455517005191658,2500.2171441472615
87.0,5220.0,60.0,0.0,6.702929485793982,0.005409189939995499,0.10887581280788279,2506.9200736330554
88.0,5280.0,60.0,0.0,6.373765237888086,0.005249845809048297,0.10358302845505336,2513.2938388709435
89.0,5340.0,60.0,0.0,6.066799704674447,0.005098175816431435,0.09864362836742822,2519.360638575618
90.0,5400.0,60.0,0.0,5.780144099613269,0.004953672213941104,0.09402784161968075,2525.140782675231
91.0,5460.0,60.0,0.0,5.512102448173885,0.0048158696527367565,0.08970890665278204,2530.6528851234048
92.0,5520.0,60.0,0.0,5.261148746205248,0.004684340934081625,0.08566271822072623,2535.91403386961
