Date_Time,Q_recorded,Q_predicted_1,Q_predicted_2,Q_predicted_3,Q_predicted_4
1997-10-07 08:37:00,0.078,0.0,0.001,0.0,0.001
1997-10-07 08:42:00,0.078,0.006,0.01,0.002,0.008
1997-10-07 08:47:00,0.078,0.01,0.012,0.002,0.012
1997-10-07 08:52:00,0.13,0.013,0.029,0.041,0.049
1997-10-07 08:57:00,0.323,0.026,0.159,0.099,0.106
1997-10-07 09:02:00,0.496,0.133,0.263,0.174,0.236
1997-10-07 09:07:00,0.422,0.216,0.302,0.23,0.289
1997-10-07 09:12:00,0.386,0.24,0.332,0.259,0.302
1997-10-07 09:17:00,0.422,0.27,0.395,0.328,0.35
1997-10-07 09:22:00,0.499,0.326,0.506,0.446,0.441
1997-10-07 09:27:00,0.504,0.392,0.557,0.524,0.49
1997-10-07 09:32:00,0.438,0.403,0.544,0.529,0.457
1997-10-07 09:37:00,0.344,0.368,0.471,0.461,0.38
1997-10-07 09:42:00,0.265,0.321,0.394,0.387,0.308
1997-10-07 09:47:00,0.198,0.287,0.347,0.355,0.264
1997-10-07 09:52:00,0.157,0.262,0.32,0.322,0.23
1997-10-07 09:57:00,0.121,0.237,0.281,0.283,0.201
1997-10-07 10:02:00,0.097,0.203,0.236,0.238,0.166
1997-10-07 10:07:00,0.083,0.179,0.206,0.205,0.14
1997-10-07 10:12:00,0.078,0.167,0.188,0.205,0.131
1997-10-07 10:17:00,0.078,0.164,0.193,0.197,0.124
1997-10-07 10:22:00,0.078,0.159,0.184,0.188,0.117
1997-10-07 10:27:00,0.078,0.154,0.174,0.173,0.113
1997-10-07 10:32:00,0.078,0.156,0.177,0.186,0.119
1997-10-07 10:37:00,0.102,0.198,0.241,0.237,0.154
1997-10-07 10:42:00,0.22,0.297,0.401,0.385,0.249
1997-10-07 10:47:00,0.366,0.456,0.581,0.544,0.388
1997-10-07 10:52:00,0.496,0.617,0.773,0.716,0.531
1997-10-07 10:57:00,0.58,0.787,0.969,0.889,0.67
1997-10-07 11:02:00,0.695,0.945,1.141,1.036,0.779
1997-10-07 11:07:00,0.81,1.099,1.321,1.194,0.879
1997-10-07 11:12:00,0.922,1.315,1.594,1.433,1.043
1997-10-07 11:17:00,0.998,1.453,1.719,1.501,1.118
1997-10-07 11:22:00,0.928,1.322,1.514,1.338,0.985
1997-10-07 11:27:00,0.718,1.15,1.308,1.153,0.81
1997-10-07 11:32:00,0.54,1.033,1.174,1.031,0.704
1997-10-07 11:37:00,0.443,0.951,1.08,0.95,0.634
1997-10-07 11:42:00,0.371,0.893,1.014,0.892,0.589
1997-10-07 11:47:00,0.366,0.88,1.014,0.897,0.583
1997-10-07 11:52:00,0.443,0.918,1.071,0.935,0.615
1997-10-07 11:57:00,0.559,0.956,1.109,0.983,0.66
1997-10-07 12:02:00,0.695,1.057,1.256,1.116,0.745
1997-10-07 12:07:00,0.845,1.293,1.562,1.385,0.941
1997-10-07 12:12:00,0.941,1.496,1.783,1.563,1.115
1997-10-07 12:17:00,1.033,1.57,1.841,1.636,1.161
1997-10-07 12:22:00,1.152,1.736,2.077,1.84,1.28
1997-10-07 12:27:00,1.36,2.059,2.458,2.189,1.537
1997-10-07 12:32:00,1.65,2.331,2.765,2.447,1.745
1997-10-07 12:37:00,1.738,2.436,2.842,2.505,1.791
1997-10-07 12:42:00,1.747,2.419,2.822,2.501,1.753
1997-10-07 12:47:00,1.852,2.613,3.083,2.741,1.884
1997-10-07 12:52:00,1.98,2.868,3.357,2.962,2.089
1997-10-07 12:57:00,2.06,2.973,3.47,3.086,2.155
1997-10-07 13:02:00,2.29,3.183,3.718,3.302,2.298
1997-10-07 13:07:00,2.517,3.333,3.891,3.449,2.399
1997-10-07 13:12:00,2.77,3.529,4.151,3.691,2.555
1997-10-07 13:17:00,3.12,3.73,4.343,3.832,2.684
1997-10-07 13:22:00,3.38,3.797,4.422,3.917,2.715
1997-10-07 13:27:00,3.28,3.891,4.521,3.983,2.764
1997-10-07 13:32:00,2.99,3.584,4.097,3.596,2.492
1997-10-07 13:37:00,2.38,3.098,3.516,3.093,2.075
1997-10-07 13:42:00,2.1,2.775,3.154,2.784,1.82
1997-10-07 13:47:00,2.18,2.651,3.049,2.693,1.748
1997-10-07 13:52:00,3.03,3.189,3.853,3.474,2.25
1997-10-07 13:57:00,4.988,4.651,5.652,5.016,3.528
1997-10-07 14:02:00,5.925,5.652,6.701,5.916,4.28
1997-10-07 14:07:00,5.519,5.588,6.473,5.689,4.079
1997-10-07 14:12:00,4.792,4.797,5.469,4.795,3.325
1997-10-07 14:17:00,4.368,3.947,4.462,3.917,2.603
1997-10-07 14:22:00,3.18,3.127,3.5,3.046,1.981
1997-10-07 14:27:00,2.27,2.363,2.63,2.306,1.437
1997-10-07 14:32:00,1.73,1.88,2.087,1.825,1.096
1997-10-07 14:37:00,1.408,1.624,1.816,1.595,0.932
1997-10-07 14:42:00,1.272,1.493,1.688,1.465,0.861
1997-10-07 14:47:00,1.18,1.294,1.447,1.25,0.768
1997-10-07 14:52:00,0.991,1.026,1.13,0.99,0.605
1997-10-07 14:57:00,0.754,0.815,0.894,0.775,0.452
1997-10-07 15:02:00,0.586,0.657,0.718,0.619,0.345
1997-10-07 15:07:00,0.5,0.537,0.586,0.502,0.269
1997-10-07 15:12:00,0.422,0.444,0.485,0.414,0.214
1997-10-07 15:17:00,0.362,0.373,0.408,0.347,0.173
1997-10-07 15:22:00,0.318,0.315,0.345,0.293,0.142
1997-10-07 15:27:00,0.285,0.269,0.295,0.249,0.118
1997-10-07 15:32:00,0.269,0.232,0.254,0.214,0.099
1997-10-07 15:37:00,0.254,0.201,0.22,0.185,0.083
1997-10-07 15:42:00,0.24,0.175,0.193,0.161,0.071
1997-10-07 15:47:00,0.22,0.153,0.169,0.141,0.061
1997-10-07 15:52:00,0.204,0.135,0.149,0.124,0.052
1997-10-07 15:57:00,0.191,0.122,0.137,0.11,0.047
1997-10-07 16:02:00,0.191,0.12,0.139,0.117,0.047
1997-10-07 16:07:00,0.198,0.134,0.155,0.124,0.052
1997-10-07 16:12:00,0.254,0.167,0.201,0.167,0.075
1997-10-07 16:17:00,0.386,0.265,0.361,0.311,0.164
1997-10-07 16:22:00,0.708,0.524,0.725,0.644,0.406
1997-10-07 16:27:00,1.602,1.025,1.375,1.22,0.88
1997-10-07 16:32:00,2.726,1.661,2.102,1.88,1.42
1997-10-07 16:37:00,3.43,2.514,3.179,2.871,2.117
1997-10-07 16:42:00,4.106,3.504,4.227,3.729,2.848
1997-10-07 16:47:00,4.106,3.913,4.67,4.13,3.056
1997-10-07 16:52:00,3.733,3.771,4.324,3.783,2.794
1997-10-07 16:57:00,2.594,2.796,3.11,2.7,1.905
1997-10-07 17:02:00,1.658,2.017,2.205,1.944,1.268
1997-10-07 17:07:00,1.145,1.561,1.71,1.489,0.913
1997-10-07 17:12:00,0.916,1.243,1.358,1.195,0.716
1997-10-07 17:17:00,0.766,1.047,1.139,0.997,0.574
1997-10-07 17:22:00,0.671,0.865,0.936,0.818,0.472
1997-10-07 17:27:00,0.57,0.696,0.751,0.656,0.371
1997-10-07 17:32:00,0.5,0.567,0.609,0.53,0.289
1997-10-07 17:37:00,0.432,0.467,0.502,0.435,0.229
1997-10-07 17:42:00,0.376,0.391,0.42,0.363,0.185
1997-10-07 17:47:00,0.336,0.329,0.354,0.305,0.151
1997-10-07 17:52:00,0.317,0.281,0.302,0.26,0.125
1997-10-07 17:57:00,0.297,0.242,0.259,0.222,0.104
1997-10-07 18:02:00,0.276,0.209,0.224,0.192,0.088
1997-10-07 18:07:00,0.261,0.181,0.196,0.167,0.075
1997-10-07 18:12:00,0.24,0.158,0.171,0.146,0.064
1997-10-07 18:17:00,0.228,0.139,0.15,0.128,0.055
1997-10-07 18:22:00,0.224,0.123,0.132,0.113,0.047
