Date_Time,Q_recorded,Q_predicted_4,Q_diff
1997-10-07 08:37:00,0.078,0.001,-0.077
1997-10-07 08:42:00,0.078,0.008,-0.07
1997-10-07 08:47:00,0.078,0.012,-0.066
1997-10-07 08:52:00,0.13,0.049,-0.081
1997-10-07 08:57:00,0.323,0.106,-0.21700000000000003
1997-10-07 09:02:00,0.496,0.236,-0.26
1997-10-07 09:07:00,0.422,0.289,-0.133
1997-10-07 09:12:00,0.386,0.302,-0.08400000000000002
1997-10-07 09:17:00,0.422,0.35,-0.07200000000000001
1997-10-07 09:22:00,0.499,0.441,-0.057999999999999996
1997-10-07 09:27:00,0.504,0.49,-0.014000000000000012
1997-10-07 09:32:00,0.438,0.457,0.019000000000000017
1997-10-07 09:37:00,0.344,0.38,0.03600000000000003
1997-10-07 09:42:00,0.265,0.308,0.04299999999999998
1997-10-07 09:47:00,0.198,0.264,0.066
1997-10-07 09:52:00,0.157,0.23,0.07300000000000001
1997-10-07 09:57:00,0.121,0.201,0.08000000000000002
1997-10-07 10:02:00,0.097,0.166,0.069
1997-10-07 10:07:00,0.083,0.14,0.05700000000000001
1997-10-07 10:12:00,0.078,0.131,0.053000000000000005
1997-10-07 10:17:00,0.078,0.124,0.046
1997-10-07 10:22:00,0.078,0.117,0.03900000000000001
1997-10-07 10:27:00,0.078,0.113,0.035
1997-10-07 10:32:00,0.078,0.119,0.040999999999999995
1997-10-07 10:37:00,0.102,0.154,0.052000000000000005
1997-10-07 10:42:00,0.22,0.249,0.028999999999999998
1997-10-07 10:47:00,0.366,0.388,0.02200000000000002
1997-10-07 10:52:00,0.496,0.531,0.03500000000000003
1997-10-07 10:57:00,0.58,0.67,0.09000000000000008
1997-10-07 11:02:00,0.695,0.779,0.08400000000000007
1997-10-07 11:07:00,0.81,0.879,0.06899999999999995
1997-10-07 11:12:00,0.922,1.043,0.12099999999999989
1997-10-07 11:17:00,0.998,1.118,0.1200000000000001
1997-10-07 11:22:00,0.928,0.985,0.05699999999999994
1997-10-07 11:27:00,0.718,0.81,0.09200000000000008
1997-10-07 11:32:00,0.54,0.704,0.16399999999999992
1997-10-07 11:37:00,0.443,0.634,0.191
1997-10-07 11:42:00,0.371,0.589,0.21799999999999997
1997-10-07 11:47:00,0.366,0.583,0.21699999999999997
1997-10-07 11:52:00,0.443,0.615,0.172
1997-10-07 11:57:00,0.559,0.66,0.10099999999999998
1997-10-07 12:02:00,0.695,0.745,0.050000000000000044
1997-10-07 12:07:00,0.845,0.941,0.09599999999999997
1997-10-07 12:12:00,0.941,1.115,0.17400000000000004
1997-10-07 12:17:00,1.033,1.161,0.1280000000000001
1997-10-07 12:22:00,1.152,1.28,0.1280000000000001
1997-10-07 12:27:00,1.36,1.537,0.17699999999999982
1997-10-07 12:32:00,1.65,1.745,0.0950000000000002
1997-10-07 12:37:00,1.738,1.791,0.052999999999999936
1997-10-07 12:42:00,1.747,1.753,0.005999999999999783
1997-10-07 12:47:00,1.852,1.884,0.031999999999999806
1997-10-07 12:52:00,1.98,2.089,0.10899999999999999
1997-10-07 12:57:00,2.06,2.155,0.09499999999999975
1997-10-07 13:02:00,2.29,2.298,0.008000000000000007
1997-10-07 13:07:00,2.517,2.399,-0.11799999999999988
1997-10-07 13:12:00,2.77,2.555,-0.21499999999999986
1997-10-07 13:17:00,3.12,2.684,-0.43599999999999994
1997-10-07 13:22:00,3.38,2.715,-0.665
1997-10-07 13:27:00,3.28,2.764,-0.516
1997-10-07 13:32:00,2.99,2.492,-0.4980000000000002
1997-10-07 13:37:00,2.38,2.075,-0.3049999999999997
1997-10-07 13:42:00,2.1,1.82,-0.28
1997-10-07 13:47:00,2.18,1.748,-0.43200000000000016
1997-10-07 13:52:00,3.03,2.25,-0.7799999999999998
1997-10-07 13:57:00,4.988,3.528,-1.4600000000000004
1997-10-07 14:02:00,5.925,4.28,-1.6449999999999996
1997-10-07 14:07:00,5.519,4.079,-1.4400000000000004
1997-10-07 14:12:00,4.792,3.325,-1.4669999999999996
1997-10-07 14:17:00,4.368,2.603,-1.7650000000000001
1997-10-07 14:22:00,3.18,1.981,-1.199
1997-10-07 14:27:00,2.27,1.437,-0.833
1997-10-07 14:32:00,1.73,1.096,-0.6339999999999999
1997-10-07 14:37:00,1.408,0.932,-0.47599999999999987
1997-10-07 14:42:00,1.272,0.861,-0.41100000000000003
1997-10-07 14:47:00,1.18,0.768,-0.4119999999999999
1997-10-07 14:52:00,0.991,0.605,-0.386
1997-10-07 14:57:00,0.754,0.452,-0.302
1997-10-07 15:02:00,0.586,0.345,-0.241
1997-10-07 15:07:00,0.5,0.269,-0.23099999999999998
1997-10-07 15:12:00,0.422,0.214,-0.208
1997-10-07 15:17:00,0.362,0.173,-0.189
1997-10-07 15:22:00,0.318,0.142,-0.17600000000000002
1997-10-07 15:27:00,0.285,0.118,-0.16699999999999998
1997-10-07 15:32:00,0.269,0.099,-0.17
1997-10-07 15:37:00,0.254,0.083,-0.17099999999999999
1997-10-07 15:42:00,0.24,0.071,-0.16899999999999998
1997-10-07 15:47:00,0.22,0.061,-0.159
1997-10-07 15:52:00,0.204,0.052,-0.152
1997-10-07 15:57:00,0.191,0.047,-0.14400000000000002
1997-10-07 16:02:00,0.191,0.047,-0.14400000000000002
1997-10-07 16:07:00,0.198,0.052,-0.14600000000000002
1997-10-07 16:12:00,0.254,0.075,-0.179
1997-10-07 16:17:00,0.386,0.164,-0.222
1997-10-07 16:22:00,0.708,0.406,-0.30199999999999994
1997-10-07 16:27:00,1.602,0.88,-0.7220000000000001
1997-10-07 16:32:00,2.726,1.42,-1.306
1997-10-07 16:37:00,3.43,2.117,-1.3130000000000002
1997-10-07 16:42:00,4.106,2.848,-1.258
1997-10-07 16:47:00,4.106,3.056,-1.0499999999999998
1997-10-07 16:52:00,3.733,2.794,-0.9390000000000001
1997-10-07 16:57:00,2.594,1.905,-0.6889999999999998
1997-10-07 17:02:00,1.658,1.268,-0.3899999999999999
1997-10-07 17:07:00,1.145,0.913,-0.23199999999999998
1997-10-07 17:12:00,0.916,0.716,-0.20000000000000007
1997-10-07 17:17:00,0.766,0.574,-0.19200000000000006
1997-10-07 17:22:00,0.671,0.472,-0.19900000000000007
