Date_Time,Q_recorded,Q_predicted_1,delta_time,Q_rec_lft,Q_rec_rgt,Q_pre_lft,Q_pre_rgt,Q_ave_rec,Q_ave_pre
1997-10-07 08:37:00,0.078,0.0,,,,,,,
1997-10-07 08:42:00,0.078,0.006,300.0,0.078,0.078,0.0,0.006,23.4,0.9
1997-10-07 08:47:00,0.078,0.01,300.0,0.078,0.078,0.006,0.01,23.4,2.4
1997-10-07 08:52:00,0.13,0.013,300.0,0.078,0.13,0.01,0.013,31.200000000000003,3.4499999999999997
1997-10-07 08:57:00,0.323,0.026,300.0,0.13,0.323,0.013,0.026,67.95,5.85
1997-10-07 09:02:00,0.496,0.133,300.0,0.323,0.496,0.026,0.133,122.85,23.85
1997-10-07 09:07:00,0.422,0.216,300.0,0.496,0.422,0.133,0.216,137.7,52.349999999999994
1997-10-07 09:12:00,0.386,0.24,300.0,0.422,0.386,0.216,0.24,121.2,68.39999999999999
1997-10-07 09:17:00,0.422,0.27,300.0,0.386,0.422,0.24,0.27,121.2,76.5
1997-10-07 09:22:00,0.499,0.326,300.0,0.422,0.499,0.27,0.326,138.15,89.4
1997-10-07 09:27:00,0.504,0.392,300.0,0.499,0.504,0.326,0.392,150.45000000000002,107.69999999999999
1997-10-07 09:32:00,0.438,0.403,300.0,0.504,0.438,0.392,0.403,141.29999999999998,119.25
1997-10-07 09:37:00,0.344,0.368,300.0,0.438,0.344,0.403,0.368,117.30000000000001,115.65
1997-10-07 09:42:00,0.265,0.321,300.0,0.344,0.265,0.368,0.321,91.35,103.35000000000001
1997-10-07 09:47:00,0.198,0.287,300.0,0.265,0.198,0.321,0.287,69.45,91.2
1997-10-07 09:52:00,0.157,0.262,300.0,0.198,0.157,0.287,0.262,53.25,82.35
1997-10-07 09:57:00,0.121,0.237,300.0,0.157,0.121,0.262,0.237,41.7,74.85
1997-10-07 10:02:00,0.097,0.203,300.0,0.121,0.097,0.237,0.203,32.7,66.0
1997-10-07 10:07:00,0.083,0.179,300.0,0.097,0.083,0.203,0.179,27.0,57.300000000000004
1997-10-07 10:12:00,0.078,0.167,300.0,0.083,0.078,0.179,0.167,24.150000000000002,51.9
1997-10-07 10:17:00,0.078,0.164,300.0,0.078,0.078,0.167,0.164,23.4,49.650000000000006
1997-10-07 10:22:00,0.078,0.159,300.0,0.078,0.078,0.164,0.159,23.4,48.45
1997-10-07 10:27:00,0.078,0.154,300.0,0.078,0.078,0.159,0.154,23.4,46.95
1997-10-07 10:32:00,0.078,0.156,300.0,0.078,0.078,0.154,0.156,23.4,46.5
1997-10-07 10:37:00,0.102,0.198,300.0,0.078,0.102,0.156,0.198,27.0,53.099999999999994
1997-10-07 10:42:00,0.22,0.297,300.0,0.102,0.22,0.198,0.297,48.300000000000004,74.25
1997-10-07 10:47:00,0.366,0.456,300.0,0.22,0.366,0.297,0.456,87.89999999999999,112.95
1997-10-07 10:52:00,0.496,0.617,300.0,0.366,0.496,0.456,0.617,129.3,160.95
