Date_Time,Q_recorded,Q_predicted_4,delta_time,Q_rec_lft,Q_rec_rgt,Q_pre_lft,Q_pre_rgt,Q_ave_rec,Q_ave_pre
1985-10-23 13:05:00,0.028,0.0,,,,,,,
1985-10-23 13:10:00,0.028,0.0,300.0,0.028,0.028,0.0,0.0,8.4,0.0
1985-10-23 13:15:00,0.028,0.0,300.0,0.028,0.028,0.0,0.0,8.4,0.0
1985-10-23 13:20:00,0.028,0.0,300.0,0.028,0.028,0.0,0.0,8.4,0.0
1985-10-23 13:25:00,0.028,0.0,300.0,0.028,0.028,0.0,0.0,8.4,0.0
1985-10-23 13:30:00,0.029,0.0,300.0,0.028,0.029,0.0,0.0,8.55,0.0
1985-10-23 13:35:00,0.029,0.0,300.0,0.029,0.029,0.0,0.0,8.700000000000001,0.0
1985-10-23 13:40:00,0.029,0.0,300.0,0.029,0.029,0.0,0.0,8.700000000000001,0.0
1985-10-23 13:45:00,0.029,0.001,300.0,0.029,0.029,0.0,0.001,8.700000000000001,0.15
1985-10-23 13:50:00,0.029,0.007,300.0,0.029,0.029,0.001,0.007,8.700000000000001,1.2
1985-10-23 13:55:00,0.041,0.015,300.0,0.029,0.041,0.007,0.015,10.500000000000002,3.3
1985-10-23 14:00:00,0.305,0.041,300.0,0.041,0.305,0.015,0.041,51.9,8.4
1985-10-23 14:05:00,1.497,0.262,300.0,0.305,1.497,0.041,0.262,270.3,45.449999999999996
1985-10-23 14:10:00,1.682,0.801,300.0,1.497,1.682,0.262,0.801,476.85,159.45000000000002
1985-10-23 14:15:00,0.885,0.838,300.0,1.682,0.885,0.801,0.838,385.05,245.85
1985-10-23 14:20:00,0.492,0.679,300.0,0.885,0.492,0.838,0.679,206.55,227.54999999999998
1985-10-23 14:25:00,0.269,0.535,300.0,0.492,0.269,0.679,0.535,114.15,182.1
1985-10-23 14:30:00,0.166,0.428,300.0,0.269,0.166,0.535,0.428,65.25000000000001,144.45000000000002
1985-10-23 14:35:00,0.107,0.347,300.0,0.166,0.107,0.428,0.347,40.95,116.24999999999999
1985-10-23 14:40:00,0.078,0.285,300.0,0.107,0.078,0.347,0.285,27.75,94.79999999999998
1985-10-23 14:45:00,0.044,0.237,300.0,0.078,0.044,0.285,0.237,18.3,78.3
1985-10-23 14:50:00,0.039,0.201,300.0,0.044,0.039,0.237,0.201,12.45,65.7
1985-10-23 14:55:00,0.036,0.171,300.0,0.039,0.036,0.201,0.171,11.25,55.8
1985-10-23 15:00:00,0.035,0.147,300.0,0.036,0.035,0.171,0.147,10.65,47.7
1985-10-23 15:05:00,0.035,0.127,300.0,0.035,0.035,0.147,0.127,10.500000000000002,41.1
1985-10-23 15:10:00,0.034,0.111,300.0,0.035,0.034,0.127,0.111,10.350000000000001,35.699999999999996
1985-10-23 15:15:00,0.039,0.097,300.0,0.034,0.039,0.111,0.097,10.950000000000001,31.200000000000003
1985-10-23 15:20:00,0.029,0.085,300.0,0.039,0.029,0.097,0.085,10.200000000000001,27.3
1985-10-23 15:25:00,0.028,0.075,300.0,0.029,0.028,0.085,0.075,8.55,24.0
1985-10-23 15:30:00,0.028,0.066,300.0,0.028,0.028,0.075,0.066,8.4,21.150000000000002
1985-10-23 15:35:00,0.028,0.058,300.0,0.028,0.028,0.066,0.058,8.4,18.6
1985-10-23 15:40:00,0.028,0.052,300.0,0.028,0.028,0.058,0.052,8.4,16.5
1985-10-23 15:45:00,0.028,0.046,300.0,0.028,0.028,0.052,0.046,8.4,14.700000000000001
1985-10-23 15:50:00,0.028,0.041,300.0,0.028,0.028,0.046,0.041,8.4,13.049999999999999
1985-10-23 15:55:00,0.028,0.036,300.0,0.028,0.028,0.041,0.036,8.4,11.55
1985-10-23 16:00:00,0.028,0.032,300.0,0.028,0.028,0.036,0.032,8.4,10.200000000000001
1985-10-23 16:05:00,0.028,0.029,300.0,0.028,0.028,0.032,0.029,8.4,9.15
1985-10-23 16:10:00,0.028,0.026,300.0,0.028,0.028,0.029,0.026,8.4,8.25
1985-10-23 16:15:00,0.028,0.023,300.0,0.028,0.028,0.026,0.023,8.4,7.3500000000000005
1985-10-23 16:20:00,0.038,0.039,300.0,0.028,0.038,0.023,0.039,9.9,9.3
1985-10-23 16:25:00,0.76,0.594,300.0,0.038,0.76,0.039,0.594,119.7,94.95
1985-10-23 16:30:00,8.064,9.708,300.0,0.76,8.064,0.594,9.708,1323.6,1545.3
1985-10-23 16:35:00,11.89,9.819,300.0,8.064,11.89,9.708,9.819,2993.1,2929.05
1985-10-23 16:40:00,7.904,5.891,300.0,11.89,7.904,9.819,5.891,2969.1,2356.5
1985-10-23 16:45:00,3.0,3.699,300.0,7.904,3.0,5.891,3.699,1635.6,1438.5
1985-10-23 16:50:00,1.61,2.527,300.0,3.0,1.61,3.699,2.527,691.5,933.9
1985-10-23 16:55:00,0.857,1.807,300.0,1.61,0.857,2.527,1.807,370.05,650.0999999999999
1985-10-23 17:00:00,0.53,1.357,300.0,0.857,0.53,1.807,1.357,208.05,474.59999999999997
1985-10-23 17:05:00,0.366,1.055,300.0,0.53,0.366,1.357,1.055,134.4,361.8
1985-10-23 17:10:00,0.293,0.836,300.0,0.366,0.293,1.055,0.836,98.85000000000001,283.65
1985-10-23 17:15:00,0.24,0.682,300.0,0.293,0.24,0.836,0.682,79.94999999999999,227.7
1985-10-23 17:20:00,0.201,0.561,300.0,0.24,0.201,0.682,0.561,66.15,186.45000000000002
1985-10-23 17:25:00,0.172,0.468,300.0,0.201,0.172,0.561,0.468,55.95,154.35000000000002
1985-10-23 17:30:00,0.154,0.394,300.0,0.172,0.154,0.468,0.394,48.89999999999999,129.3
1985-10-23 17:35:00,0.136,0.335,300.0,0.154,0.136,0.394,0.335,43.50000000000001,109.35000000000001
1985-10-23 17:40:00,0.121,0.287,300.0,0.136,0.121,0.335,0.287,38.550000000000004,93.3
1985-10-23 17:45:00,0.117,0.248,300.0,0.121,0.117,0.287,0.248,35.699999999999996,80.24999999999999
1985-10-23 17:50:00,0.112,0.216,300.0,0.117,0.112,0.248,0.216,34.35,69.6
1985-10-23 17:55:00,0.107,0.189,300.0,0.112,0.107,0.216,0.189,32.85,60.75000000000001
1985-10-23 18:00:00,0.105,0.166,300.0,0.107,0.105,0.189,0.166,31.8,53.25
1985-10-23 18:05:00,0.102,0.146,300.0,0.105,0.102,0.166,0.146,31.049999999999997,46.8
1985-10-23 18:10:00,0.102,0.13,300.0,0.102,0.102,0.146,0.13,30.599999999999998,41.400000000000006
1985-10-23 18:15:00,0.102,0.116,300.0,0.102,0.102,0.13,0.116,30.599999999999998,36.9
1985-10-23 18:20:00,0.102,0.103,300.0,0.102,0.102,0.116,0.103,30.599999999999998,32.85
1985-10-23 18:25:00,0.102,0.092,300.0,0.102,0.102,0.103,0.092,30.599999999999998,29.25
1985-10-23 18:30:00,0.102,0.082,300.0,0.102,0.102,0.092,0.082,30.599999999999998,26.099999999999998
1985-10-23 18:35:00,0.102,0.073,300.0,0.102,0.102,0.082,0.073,30.599999999999998,23.25
1985-10-23 18:40:00,0.102,0.066,300.0,0.102,0.102,0.073,0.066,30.599999999999998,20.85
1985-10-23 18:45:00,0.102,0.059,300.0,0.102,0.102,0.066,0.059,30.599999999999998,18.75
1985-10-23 18:50:00,0.102,0.053,300.0,0.102,0.102,0.059,0.053,30.599999999999998,16.799999999999997
1985-10-23 18:55:00,0.102,0.048,300.0,0.102,0.102,0.053,0.048,30.599999999999998,15.15
1985-10-23 19:00:00,0.102,0.043,300.0,0.102,0.102,0.048,0.043,30.599999999999998,13.65
1985-10-23 19:05:00,0.102,0.039,300.0,0.102,0.102,0.043,0.039,30.599999999999998,12.299999999999999
1985-10-23 19:10:00,0.102,0.035,300.0,0.102,0.102,0.039,0.035,30.599999999999998,11.100000000000001
1985-10-23 19:15:00,0.102,0.031,300.0,0.102,0.102,0.035,0.031,30.599999999999998,9.9
1985-10-23 19:20:00,0.102,0.028,300.0,0.102,0.102,0.031,0.028,30.599999999999998,8.85
1985-10-23 19:25:00,0.102,0.026,300.0,0.102,0.102,0.028,0.026,30.599999999999998,8.1
1985-10-23 19:30:00,0.102,0.023,300.0,0.102,0.102,0.026,0.023,30.599999999999998,7.3500000000000005
1985-10-23 19:35:00,0.1,0.021,300.0,0.102,0.1,0.023,0.021,30.3,6.6
1985-10-23 19:40:00,0.097,0.019,300.0,0.1,0.097,0.021,0.019,29.55,6.0
1985-10-23 19:45:00,0.097,0.017,300.0,0.097,0.097,0.019,0.017,29.1,5.4
1985-10-23 19:50:00,0.097,0.016,300.0,0.097,0.097,0.017,0.016,29.1,4.95
1985-10-23 19:55:00,0.098,0.014,300.0,0.097,0.098,0.016,0.014,29.25,4.5
