Date_Time,Q_recorded,Q_predicted_3,Q_diff,Q_abs_diff
1993-01-06 17:35:00,0.002,0.0,-0.002,0.002
1993-01-06 17:40:00,0.002,0.0,-0.002,0.002
1993-01-06 17:45:00,0.002,0.0,-0.002,0.002
1993-01-06 17:50:00,0.002,0.0,-0.002,0.002
1993-01-06 17:55:00,0.285,0.0,-0.285,0.285
1993-01-06 18:00:00,1.899,0.0,-1.899,1.899
1993-01-06 18:05:00,1.899,0.028,-1.871,1.871
1993-01-06 18:10:00,1.04,0.054,-0.986,0.986
1993-01-06 18:15:00,0.492,0.259,-0.23299999999999998,0.23299999999999998
1993-01-06 18:20:00,0.236,0.552,0.31600000000000006,0.31600000000000006
1993-01-06 18:25:00,0.157,0.451,0.29400000000000004,0.29400000000000004
1993-01-06 18:30:00,0.1,0.361,0.261,0.261
1993-01-06 18:35:00,0.061,0.298,0.237,0.237
1993-01-06 18:40:00,0.036,0.252,0.216,0.216
1993-01-06 18:45:00,0.018,0.218,0.2,0.2
1993-01-06 18:50:00,0.015,0.197,0.182,0.182
1993-01-06 18:55:00,0.014,0.203,0.189,0.189
1993-01-06 19:00:00,0.011,0.234,0.223,0.223
1993-01-06 19:05:00,0.007,0.276,0.269,0.269
1993-01-06 19:10:00,0.007,0.291,0.284,0.284
1993-01-06 19:15:00,0.003,0.265,0.262,0.262
1993-01-06 19:20:00,0.005,0.228,0.223,0.223
1993-01-06 19:25:00,0.005,0.193,0.188,0.188
1993-01-06 19:30:00,0.005,0.164,0.159,0.159
1993-01-06 19:35:00,0.005,0.14,0.135,0.135
1993-01-06 19:40:00,0.005,0.121,0.11599999999999999,0.11599999999999999
1993-01-06 19:45:00,0.005,0.104,0.09899999999999999,0.09899999999999999
1993-01-06 19:50:00,0.005,0.091,0.086,0.086
1993-01-06 19:55:00,0.005,0.08,0.075,0.075
1993-01-06 20:00:00,0.005,0.07,0.065,0.065
1993-01-06 20:05:00,0.005,0.062,0.057,0.057
1993-01-06 20:10:00,0.005,0.054,0.049,0.049
1993-01-06 20:15:00,0.005,0.048,0.043000000000000003,0.043000000000000003
1993-01-06 20:20:00,0.005,0.043,0.038,0.038
1993-01-06 20:25:00,0.005,0.038,0.033,0.033
1993-01-06 20:30:00,0.005,0.034,0.029,0.029
1993-01-06 20:35:00,0.005,0.03,0.024999999999999998,0.024999999999999998
1993-01-06 20:40:00,0.005,0.027,0.022,0.022
1993-01-06 20:45:00,0.005,0.024,0.019,0.019
1993-01-06 20:50:00,0.005,0.026,0.020999999999999998,0.020999999999999998
1993-01-06 20:55:00,0.005,0.03,0.024999999999999998,0.024999999999999998
1993-01-06 21:00:00,0.005,0.037,0.032,0.032
1993-01-06 21:05:00,0.005,0.048,0.043000000000000003,0.043000000000000003
1993-01-06 21:10:00,0.005,0.058,0.053000000000000005,0.053000000000000005
1993-01-06 21:15:00,0.005,0.068,0.063,0.063
1993-01-06 21:20:00,0.005,0.072,0.06699999999999999,0.06699999999999999
1993-01-06 21:25:00,0.005,0.076,0.071,0.071
1993-01-06 21:30:00,0.032,0.081,0.049,0.049
1993-01-06 21:35:00,0.916,0.09,-0.8260000000000001,0.8260000000000001
1993-01-06 21:40:00,0.972,0.148,-0.824,0.824
1993-01-06 21:45:00,0.499,0.432,-0.067,0.067
1993-01-06 21:50:00,0.331,1.037,0.706,0.706
1993-01-06 21:55:00,1.096,1.082,-0.014000000000000012,0.014000000000000012
1993-01-06 22:00:00,8.768,0.901,-7.867000000000001,7.867000000000001
1993-01-06 22:05:00,9.516,0.988,-8.528,8.528
1993-01-06 22:10:00,5.597,4.199,-1.3980000000000006,1.3980000000000006
1993-01-06 22:15:00,3.898,7.443,3.5449999999999995,3.5449999999999995
1993-01-06 22:20:00,3.01,5.906,2.896,2.896
1993-01-06 22:25:00,2.054,5.074,3.02,3.02
1993-01-06 22:30:00,2.18,4.305,2.1249999999999996,2.1249999999999996
1993-01-06 22:35:00,3.05,3.662,0.6120000000000001,0.6120000000000001
1993-01-06 22:40:00,1.917,3.136,1.219,1.219
1993-01-06 22:45:00,1.236,2.774,1.538,1.538
1993-01-06 22:50:00,0.922,2.513,1.5909999999999997,1.5909999999999997
1993-01-06 22:55:00,0.749,2.132,1.383,1.383
1993-01-06 23:00:00,0.61,1.709,1.0990000000000002,1.0990000000000002
1993-01-06 23:05:00,0.48,1.392,0.9119999999999999,0.9119999999999999
1993-01-06 23:10:00,0.357,1.14,0.7829999999999999,0.7829999999999999
1993-01-06 23:15:00,0.289,0.933,0.6440000000000001,0.6440000000000001
1993-01-06 23:20:00,0.236,0.767,0.531,0.531
1993-01-06 23:25:00,0.201,0.642,0.441,0.441
1993-01-06 23:30:00,0.177,0.546,0.36900000000000005,0.36900000000000005
1993-01-06 23:35:00,0.154,0.471,0.31699999999999995,0.31699999999999995
1993-01-06 23:40:00,0.127,0.411,0.284,0.284
1993-01-06 23:45:00,0.11,0.361,0.251,0.251
1993-01-06 23:50:00,0.096,0.317,0.221,0.221
1993-01-06 23:55:00,0.08,0.283,0.20299999999999996,0.20299999999999996
1993-01-07 00:00:00,0.069,0.253,0.184,0.184
1993-01-07 00:05:00,0.061,0.225,0.164,0.164
1993-01-07 00:10:00,0.054,0.199,0.14500000000000002,0.14500000000000002
1993-01-07 00:15:00,0.048,0.174,0.126,0.126
1993-01-07 00:20:00,0.042,0.153,0.11099999999999999,0.11099999999999999
1993-01-07 00:25:00,0.041,0.134,0.093,0.093
1993-01-07 00:30:00,0.039,0.118,0.07899999999999999,0.07899999999999999
1993-01-07 00:35:00,0.038,0.104,0.066,0.066
1993-01-07 00:40:00,0.036,0.092,0.056,0.056
1993-01-07 00:45:00,0.035,0.082,0.047,0.047
