Date_Time,Q_recorded,Q_predicted_3,Q_diff,Q_sqr_diff
1993-01-06 17:35:00,0.002,0.0,-0.002,4e-06
1993-01-06 17:40:00,0.002,0.0,-0.002,4e-06
1993-01-06 17:45:00,0.002,0.0,-0.002,4e-06
1993-01-06 17:50:00,0.002,0.0,-0.002,4e-06
1993-01-06 17:55:00,0.285,0.0,-0.285,0.08122499999999999
1993-01-06 18:00:00,1.899,0.0,-1.899,3.606201
1993-01-06 18:05:00,1.899,0.028,-1.871,3.500641
1993-01-06 18:10:00,1.04,0.054,-0.986,0.972196
1993-01-06 18:15:00,0.492,0.259,-0.23299999999999998,0.05428899999999999
1993-01-06 18:20:00,0.236,0.552,0.31600000000000006,0.09985600000000004
1993-01-06 18:25:00,0.157,0.451,0.29400000000000004,0.08643600000000003
1993-01-06 18:30:00,0.1,0.361,0.261,0.068121
1993-01-06 18:35:00,0.061,0.298,0.237,0.056169
1993-01-06 18:40:00,0.036,0.252,0.216,0.046655999999999996
1993-01-06 18:45:00,0.018,0.218,0.2,0.04000000000000001
1993-01-06 18:50:00,0.015,0.197,0.182,0.033124
1993-01-06 18:55:00,0.014,0.203,0.189,0.035721
1993-01-06 19:00:00,0.011,0.234,0.223,0.049729
1993-01-06 19:05:00,0.007,0.276,0.269,0.07236100000000001
1993-01-06 19:10:00,0.007,0.291,0.284,0.08065599999999999
1993-01-06 19:15:00,0.003,0.265,0.262,0.06864400000000001
1993-01-06 19:20:00,0.005,0.228,0.223,0.049729
1993-01-06 19:25:00,0.005,0.193,0.188,0.035344
1993-01-06 19:30:00,0.005,0.164,0.159,0.025281
1993-01-06 19:35:00,0.005,0.14,0.135,0.018225
1993-01-06 19:40:00,0.005,0.121,0.11599999999999999,0.013455999999999997
1993-01-06 19:45:00,0.005,0.104,0.09899999999999999,0.009800999999999999
1993-01-06 19:50:00,0.005,0.091,0.086,0.007395999999999999
1993-01-06 19:55:00,0.005,0.08,0.075,0.005625
1993-01-06 20:00:00,0.005,0.07,0.065,0.0042250000000000005
1993-01-06 20:05:00,0.005,0.062,0.057,0.003249
1993-01-06 20:10:00,0.005,0.054,0.049,0.0024010000000000004
1993-01-06 20:15:00,0.005,0.048,0.043000000000000003,0.0018490000000000004
1993-01-06 20:20:00,0.005,0.043,0.038,0.001444
1993-01-06 20:25:00,0.005,0.038,0.033,0.0010890000000000001
1993-01-06 20:30:00,0.005,0.034,0.029,0.0008410000000000001
1993-01-06 20:35:00,0.005,0.03,0.024999999999999998,0.0006249999999999999
1993-01-06 20:40:00,0.005,0.027,0.022,0.00048399999999999995
1993-01-06 20:45:00,0.005,0.024,0.019,0.000361
1993-01-06 20:50:00,0.005,0.026,0.020999999999999998,0.00044099999999999993
1993-01-06 20:55:00,0.005,0.03,0.024999999999999998,0.0006249999999999999
1993-01-06 21:00:00,0.005,0.037,0.032,0.001024
1993-01-06 21:05:00,0.005,0.048,0.043000000000000003,0.0018490000000000004
1993-01-06 21:10:00,0.005,0.058,0.053000000000000005,0.0028090000000000007
1993-01-06 21:15:00,0.005,0.068,0.063,0.003969
1993-01-06 21:20:00,0.005,0.072,0.06699999999999999,0.004488999999999999
1993-01-06 21:25:00,0.005,0.076,0.071,0.0050409999999999995
1993-01-06 21:30:00,0.032,0.081,0.049,0.0024010000000000004
1993-01-06 21:35:00,0.916,0.09,-0.8260000000000001,0.6822760000000001
1993-01-06 21:40:00,0.972,0.148,-0.824,0.6789759999999999
1993-01-06 21:45:00,0.499,0.432,-0.067,0.004489000000000001
1993-01-06 21:50:00,0.331,1.037,0.706,0.49843599999999993
1993-01-06 21:55:00,1.096,1.082,-0.014000000000000012,0.00019600000000000035
1993-01-06 22:00:00,8.768,0.901,-7.867000000000001,61.88968900000001
1993-01-06 22:05:00,9.516,0.988,-8.528,72.72678400000001
1993-01-06 22:10:00,5.597,4.199,-1.3980000000000006,1.9544040000000016
1993-01-06 22:15:00,3.898,7.443,3.5449999999999995,12.567024999999996
1993-01-06 22:20:00,3.01,5.906,2.896,8.386816
1993-01-06 22:25:00,2.054,5.074,3.02,9.1204
1993-01-06 22:30:00,2.18,4.305,2.1249999999999996,4.515624999999998
1993-01-06 22:35:00,3.05,3.662,0.6120000000000001,0.3745440000000001
1993-01-06 22:40:00,1.917,3.136,1.219,1.4859610000000003
1993-01-06 22:45:00,1.236,2.774,1.538,2.365444
1993-01-06 22:50:00,0.922,2.513,1.5909999999999997,2.531280999999999
1993-01-06 22:55:00,0.749,2.132,1.383,1.912689
1993-01-06 23:00:00,0.61,1.709,1.0990000000000002,1.2078010000000003
1993-01-06 23:05:00,0.48,1.392,0.9119999999999999,0.8317439999999998
1993-01-06 23:10:00,0.357,1.14,0.7829999999999999,0.6130889999999999
1993-01-06 23:15:00,0.289,0.933,0.6440000000000001,0.41473600000000016
1993-01-06 23:20:00,0.236,0.767,0.531,0.281961
1993-01-06 23:25:00,0.201,0.642,0.441,0.19448100000000001
1993-01-06 23:30:00,0.177,0.546,0.36900000000000005,0.13616100000000003
1993-01-06 23:35:00,0.154,0.471,0.31699999999999995,0.10048899999999997
1993-01-06 23:40:00,0.127,0.411,0.284,0.08065599999999999
1993-01-06 23:45:00,0.11,0.361,0.251,0.063001
1993-01-06 23:50:00,0.096,0.317,0.221,0.048841
1993-01-06 23:55:00,0.08,0.283,0.20299999999999996,0.04120899999999998
1993-01-07 00:00:00,0.069,0.253,0.184,0.033856
1993-01-07 00:05:00,0.061,0.225,0.164,0.026896000000000003
1993-01-07 00:10:00,0.054,0.199,0.14500000000000002,0.021025000000000005
1993-01-07 00:15:00,0.048,0.174,0.126,0.015876
1993-01-07 00:20:00,0.042,0.153,0.11099999999999999,0.012320999999999997
1993-01-07 00:25:00,0.041,0.134,0.093,0.008649
1993-01-07 00:30:00,0.039,0.118,0.07899999999999999,0.006240999999999998
1993-01-07 00:35:00,0.038,0.104,0.066,0.0043560000000000005
1993-01-07 00:40:00,0.036,0.092,0.056,0.0031360000000000003
1993-01-07 00:45:00,0.035,0.082,0.047,0.002209
1993-01-07 00:50:00,0.035,0.073,0.03799999999999999,0.0014439999999999993
1993-01-07 00:55:00,0.035,0.065,0.03,0.0009
1993-01-07 01:00:00,0.035,0.058,0.023,0.000529
1993-01-07 01:05:00,0.035,0.052,0.016999999999999994,0.0002889999999999998
1993-01-07 01:10:00,0.035,0.047,0.011999999999999997,0.00014399999999999992
1993-01-07 01:15:00,0.035,0.042,0.006999999999999999,4.899999999999999e-05
1993-01-07 01:20:00,0.035,0.038,0.0029999999999999957,8.999999999999975e-06
1993-01-07 01:25:00,0.035,0.034,-0.0010000000000000009,1.0000000000000019e-06
1993-01-07 01:30:00,0.035,0.031,-0.0040000000000000036,1.600000000000003e-05
1993-01-07 01:35:00,0.035,0.028,-0.007000000000000003,4.900000000000004e-05
1993-01-07 01:40:00,0.035,0.025,-0.010000000000000002,0.00010000000000000005
1993-01-07 01:45:00,0.035,0.023,-0.012000000000000004,0.00014400000000000008
1993-01-07 01:50:00,0.036,0.02,-0.015999999999999997,0.0002559999999999999
