event,simulation,relative_error,absolute_error,time_to_peak,time_to_centroid,sum_of_absolute_difference_abs,sum_of_absolute_difference_rel,sum_of_the_squared_error_abs,sum_of_the_squared_error_rel,mean_squared_error,root_mean_squared_error,mean_error,mean_absolute_error,percent_bias,error_variance,nash_sutcliffe_efficiency,kling_gupta_efficiency,coefficient_of_variation,volume_variation,volume_variation_relative,average
event_1,simulation_01,2.0,2.0,2.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.394736842105263
event_1,simulation_02,3.0,3.0,2.5,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.3421052631578947
event_1,simulation_03,1.0,1.0,2.5,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.1315789473684212
event_1,simulation_04,4.0,4.0,2.5,4.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,3.1315789473684212
event_2,simulation_01,1.0,1.0,1.5,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.394736842105263
event_2,simulation_02,4.0,4.0,3.5,4.0,2.0,1.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.4473684210526314
event_2,simulation_03,2.0,2.0,3.5,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0789473684210527
event_2,simulation_04,3.0,3.0,1.5,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0789473684210527
event_3,simulation_01,4.0,4.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.9210526315789473
event_3,simulation_02,2.0,2.0,2.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.5526315789473686
event_3,simulation_03,3.0,3.0,2.5,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0789473684210527
event_3,simulation_04,1.0,1.0,2.5,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.4473684210526314
