Date_Time,Q_recorded,Q_predicted_3,Q_abs_diff,Q_rel_diff,Q_diff,Q_sqr_diff,Q_sqr_rel_diff,Q_var_rec,Q_sqr_var_rec,Q_var_pre,Q_sqr_var_pre,Q_prod_var_rec_pre,delta_time,Q_rec_lft,Q_rec_rgt,Q_pre_lft,Q_pre_rgt,Q_ave_rec,Q_ave_pre
1997-10-07 08:37:00,0.078,0.0,0.078,1.0,-0.078,0.006084,1.0,-0.5853047210300429,0.3425816164600564,-0.6896738197424892,0.4756499776381955,0.40366934266610177,,,,,,,
1997-10-07 08:42:00,0.078,0.002,0.076,0.9743589743589743,-0.076,0.005776,0.9493754109138725,-0.5853047210300429,0.3425816164600564,-0.6876738197424892,0.4728952823592255,0.40249873322404167,300.0,0.078,0.078,0.0,0.002,23.4,0.3
1997-10-07 08:47:00,0.078,0.002,0.076,0.9743589743589743,-0.076,0.005776,0.9493754109138725,-0.5853047210300429,0.3425816164600564,-0.6876738197424892,0.4728952823592255,0.40249873322404167,300.0,0.078,0.078,0.002,0.002,23.4,0.6
1997-10-07 08:52:00,0.13,0.041,0.089,0.6846153846153845,-0.089,0.007921,0.46869822485207085,-0.5333047210300429,0.28441392547293187,-0.6486738197424892,0.4207777244193113,0.3459408104772605,300.0,0.078,0.13,0.002,0.041,31.200000000000003,6.45
1997-10-07 08:57:00,0.323,0.099,0.224,0.6934984520123839,-0.224,0.050176000000000005,0.48094010294357276,-0.3403047210300429,0.11580730315533531,-0.5906738197424892,0.34889556132918265,0.20100908944721763,300.0,0.13,0.323,0.041,0.099,67.95,21.000000000000004
1997-10-07 09:02:00,0.496,0.174,0.322,0.6491935483870968,-0.322,0.10368400000000001,0.42145226326742974,-0.1673047210300429,0.02799086967894048,-0.5156738197424893,0.2659194883678093,0.0862746645545138,300.0,0.323,0.496,0.099,0.174,122.85,40.95
1997-10-07 09:07:00,0.422,0.23,0.19199999999999998,0.4549763033175355,-0.19199999999999998,0.036863999999999994,0.20700343658049009,-0.2413047210300429,0.05822796839138684,-0.4596738197424892,0.21130002055665048,0.1109214628377756,300.0,0.496,0.422,0.174,0.23,137.7,60.6
1997-10-07 09:12:00,0.386,0.259,0.127,0.3290155440414508,-0.127,0.016129,0.10825122822089184,-0.2773047210300429,0.0768979083055499,-0.4306738197424892,0.18547993901158608,0.11942788343863395,300.0,0.422,0.386,0.23,0.259,121.2,73.35
1997-10-07 09:17:00,0.422,0.328,0.09399999999999997,0.22274881516587672,-0.09399999999999997,0.008835999999999995,0.04961703465780191,-0.2413047210300429,0.05822796839138684,-0.3616738197424892,0.13080795188712258,0.08727360017683138,300.0,0.386,0.422,0.259,0.328,121.2,88.05
1997-10-07 09:22:00,0.499,0.446,0.05299999999999999,0.10621242484969938,-0.05299999999999999,0.002808999999999999,0.011281079192453039,-0.1643047210300429,0.026996041352760222,-0.2436738197424892,0.05937693042789512,0.04003675897511465,300.0,0.422,0.499,0.328,0.446,138.15,116.10000000000001
